base_matrix	cpu_blocks	gpu_blocks	total_blocks	name	iters	gpu_status	gpu_spmv	gpu_residual	mpi_gpu_status	mpi_gpu_spmv	mpi_gpu_residual	speedup_ratio	r0_local_spmv	r0_shared_spmv	r0_vecops	r0_comm_wait	r0_send_fill	r0_send_wait	r1_local_spmv	r1_shared_spmv	r1_vecops	r1_comm_wait	r1_send_fill	r1_send_wait
cage11	1	1	2	cage11_1c_1g	200	ok	0.054445	2.629932E-16	ok	0.135361	2.931697E-16	0.4022	0.01258349	3.099442e-06	0.1058302	9.536743e-07	7.152557e-06	4.053116e-06	0.1009092	0.0	0.1470537	1.335144e-05	3.814697e-06	1.811981e-05
cage11	1	3	4	cage11_1c_3g	200	ok	0.083031	2.678756E-16	ok	0.138621	2.976812E-16	0.5990	0.02860212	4.053116e-06	0.06877375	1.096725e-05	5.960464e-06	6.67572e-06	0.1024599	0.0	0.1462476	9.775162e-06	4.768372e-06	1.907349e-05
cage11	1	9	10	cage11_1c_9g	200	ok	0.173069	2.722368E-16	ok	0.236028	2.992386E-16	0.7333	0.07841349	1.001358e-05	0.06000209	1.835823e-05	1.096725e-05	9.298325e-06	0.1022835	0.0	0.2759845	5.960464e-06	1.215935e-05	2.002716e-05
cage11	2	2	4	cage11_2c_2g	200	ok	0.083438	2.678756E-16	ok	0.280277	2.982991E-16	0.2977	0.02109528	4.529953e-06	0.230078	1.0252e-05	1.215935e-05	7.867813e-06	0.2054329	0.0	0.1827884	9.298325e-06	8.821487e-06	2.193451e-05
cage11	4	4	8	cage11_4c_4g	200	ok	0.140307	2.704320E-16	ok	0.635502	3.002967E-16	0.2208	0.03667974	9.059906e-06	0.5441766	5.00679e-06	1.001358e-05	1.096725e-05	0.445873	0.0	0.2858405	1.40667e-05	1.430511e-05	3.290176e-05
cage11	1	15	16	cage11_1c_15g	200	ok	0.273035	2.741837E-16	ok	0.387993	2.989815E-16	0.7037	0.1299596	6.914139e-06	0.1043236	2.884865e-05	1.144409e-05	8.106232e-06	0.1017163	0.0	0.4173415	8.821487e-06	5.245209e-06	2.408028e-05
rma10	1	1	2	rma10_1c_1g	200	ok	0.116077	9.949061E+08	ok	0.469886	1.117793E+07	0.2470	0.03259349	5.960464e-06	0.4171822	3.33786e-06	6.198883e-06	5.960464e-06	0.4248788	0.0	0.1514962	5.960464e-06	1.096725e-05	5.38826e-05
rma10	1	3	4	rma10_1c_3g	200	ok	0.204175	NAN	ok	0.484959	8.132953E+08	0.4210	0.09180665	8.34465e-06	0.3432317	9.536743e-06	8.106232e-06	6.67572e-06	0.4374881	0.0	0.1930244	5.245209e-06	5.960464e-06	5.149841e-05
rma10	1	9	10	rma10_1c_9g	200	ok	0.481009	1.160822E+09	ok	0.523263	4.993144E+06	0.9192	0.2699828	1.430511e-05	0.1297784	1.764297e-05	1.597404e-05	4.053116e-06	0.4640481	0.0	0.2241466	1.0252e-05	1.144409e-05	3.743172e-05
rma10	2	2	4	rma10_2c_2g	200	ok	0.204061	NAN	ok	1.021311	8.299318E+08	0.1998	0.06220722	8.583069e-06	0.9231563	5.960464e-06	1.144409e-05	5.00679e-06	0.922719	0.0	0.2217863	5.00679e-06	1.192093e-05	4.816055e-05
rma10	4	4	8	rma10_4c_4g	200	ok	0.385109	3.646830E+11	ok	2.150089	4.806253E+07	0.1791	0.12099	6.67572e-06	1.968915	9.775162e-06	1.645088e-05	9.536743e-07	1.925739	0.0	0.3661022	1.096725e-05	1.358986e-05	4.434586e-05
rma10	1	15	16	rma10_1c_15g	200	ok	0.732901	2.946959E+12	ok	0.767884	5.263253E+08	0.9544	0.4466889	4.053116e-06	0.1213238	2.384186e-05	7.152557e-06	1.263618e-05	0.5450566	0.0	0.4476423	5.00679e-06	8.106232e-06	5.722046e-05
cage12	1	1	2	cage12_1c_1g	200	ok	0.122860	2.518278E-16	ok	0.576058	2.831084E-16	0.2133	0.03386116	6.914139e-06	0.4954197	8.583069e-06	9.059906e-06	1.28746e-05	0.4244795	0.0	0.2540367	5.00679e-06	2.264977e-05	4.792213e-05
cage12	1	3	4	cage12_1c_3g	200	ok	0.243252	2.519555E-16	ok	0.587918	2.815450E-16	0.4138	0.0941987	6.914139e-06	0.3724873	2.002716e-05	7.390976e-06	4.053116e-06	0.4416144	0.0	0.2872474	1.001358e-05	5.00679e-06	4.863739e-05
cage12	1	9	10	cage12_1c_9g	200	ok	0.554180	2.710677E-16	ok	0.794275	3.003721E-16	0.6977	0.2747211	1.168251e-05	0.184201	4.220009e-05	1.859665e-05	5.960464e-06	0.5323586	0.0	0.4623513	4.053116e-06	1.120567e-05	2.789497e-05
cage12	2	2	4	cage12_2c_2g	200	ok	0.243273	2.519555E-16	ok	1.259325	2.827323E-16	0.1932	0.06394291	1.072884e-05	1.114611	1.907349e-05	1.573563e-05	4.053116e-06	0.9135604	0.0	0.4705322	9.059906e-06	1.215935e-05	4.148483e-05
cage12	4	4	8	cage12_4c_4g	200	ok	0.452998	2.542841E-16	ok	2.643814	2.847884E-16	0.1713	0.1255462	6.198883e-06	2.333378	2.455711e-05	3.170967e-05	5.722046e-06	1.820221	0.0	0.9666495	3.814697e-06	1.645088e-05	4.029274e-05
cage12	1	15	16	cage12_1c_15g	200	ok	0.843170	2.566333E-16	ok	1.290470	2.838505E-16	0.6534	0.4522364	4.291534e-06	0.2871377	5.316734e-05	4.74453e-05	6.198883e-06	0.6176915	0.0	0.8876371	3.814697e-06	1.311302e-05	5.292892e-05
rma10	1	20	21	rma10_1c_20g	200	ok	0.941620	4.836505E+08	ok	1.003305	2.978226E+09	0.9385	0.5931418	5.00679e-06	0.1502769	3.194809e-05	1.955032e-05	4.291534e-06	0.536073	0.0	0.7091238	5.960464e-06	1.215935e-05	3.838539e-05
rma10	1	30	31	rma10_1c_30g	200	ok	1.351468	4.911502E+11	ok	1.483478	1.740928E+11	0.9110	0.8852227	5.722046e-06	0.2133446	2.241135e-05	2.95639e-05	9.536743e-06	0.6003034	0.0	1.14809	5.722046e-06	1.502037e-05	3.194809e-05
rma10	1	50	51	rma10_1c_50g	200	ok	2.160983	7.227454E+11	ok	2.439616	5.541563E+10	0.8858	1.473644	6.198883e-06	0.3382716	1.764297e-05	1.66893e-05	6.67572e-06	0.6325772	0.0	2.13819	1.764297e-05	7.152557e-06	6.103516e-05
rma10	1	100	101	rma10_1c_100g	200	ok	4.216251	6.394216E+10	ok	4.744772	1.219159E+09	0.8886	2.938922	1.096725e-05	0.6496737	1.597404e-05	2.574921e-05	1.192093e-05	0.4980943	0.0	4.723751	6.914139e-06	1.335144e-05	0.0001027584
cage11	1	20	21	cage11_1c_20g	200	ok	0.347428	2.647495E-16	ok	0.501885	2.904662E-16	0.6922	0.171102	5.960464e-06	0.1298859	1.120567e-05	1.215935e-05	1.001358e-05	0.1008358	0.0	0.562762	6.67572e-06	8.821487e-06	3.051758e-05
cage11	1	30	31	cage11_1c_30g	200	ok	0.493617	2.710244E-16	ok	0.732427	2.950986E-16	0.6739	0.2526565	4.053116e-06	0.1819367	2.074242e-05	1.40667e-05	8.583069e-06	0.102237	0.0	0.8010666	7.629395e-06	1.215935e-05	2.646446e-05
cage11	1	50	51	cage11_1c_50g	200	ok	0.772751	2.610573E-16	ok	1.187303	2.841482E-16	0.6508	0.4153278	1.311302e-05	0.2869709	1.430511e-05	1.049042e-05	5.722046e-06	0.106447	0.0	1.267844	5.960464e-06	1.28746e-05	1.764297e-05
cage11	1	100	101	cage11_1c_100g	200	ok	1.469849	2.608595E-16	ok	2.324553	2.836521E-16	0.6323	0.8255389	1.072884e-05	0.5461028	1.835823e-05	2.002716e-05	3.099442e-06	0.1058018	0.0	2.478878	4.053116e-06	4.053116e-06	2.169609e-05
