matrix	solver	part_src	weight	threads	spmv_time	relative_residual	speedup_vs_gpu	status
Freescale2	cpu	-	-	16	13.365482	0.01539329	0.062	ok
Freescale2	gpu	-	-	1	0.828852		1.0	ok
Freescale2	gpu-dp	-	-	1	0.662942	0.003011599	1.25	ok
Freescale2	gpu-pipelined	-	-	1	1.249079	0.00316383	0.664	ok
Freescale2	hybrid-async	naive	w100	4	2.81883	0.003033827	0.294	ok
Freescale2	hybrid-async	naive	w1000	4	1.091409	0.003121375	0.759	ok
Freescale2	hybrid-async	naive	w1100	4	1.051547		0.788	ok
Freescale2	hybrid-async	naive	w1200	4	1.014706	0.002947614	0.817	ok
Freescale2	hybrid-async	naive	w2000	4	0.94412	0.00302526	0.878	ok
Freescale2	hybrid-async	naive	w2720	4	0.904968		0.916	ok
Freescale2	hybrid-async	naive	w400	4	1.536744	0.003104312	0.539	ok
Freescale2	hybrid-async	naive	w500	4	1.390486	0.003526435	0.596	ok
Freescale2	hybrid-async	naive	w600	4	1.284859	0.00311105	0.645	ok
Freescale2	hybrid-async	naive	w700	4	1.210304	0.003035822	0.685	ok
Freescale2	hybrid-async	naive	w800	4	1.166267	0.0031026	0.711	ok
Freescale2	hybrid-async	naive	w900	4	1.097375	0.003077696	0.755	ok
Freescale2	hybrid-async	patoh	w100	4	2.766867	0.003128454	0.3	ok
Freescale2	hybrid-async	patoh	w1000	4	1.050694	0.003011808	0.789	ok
Freescale2	hybrid-async	patoh	w1100	4	1.009499	0.003030466	0.821	ok
Freescale2	hybrid-async	patoh	w1200	4	0.977327	0.003093988	0.848	ok
Freescale2	hybrid-async	patoh	w2000	4	0.932441	0.003102417	0.889	ok
Freescale2	hybrid-async	patoh	w2720	4	0.886452	0.003021529	0.935	ok
Freescale2	hybrid-async	patoh	w400	4	1.484889	0.008020437	0.558	ok
Freescale2	hybrid-async	patoh	w500	4	1.339338	0.008644209	0.619	ok
Freescale2	hybrid-async	patoh	w600	4	1.232996	0.002933025	0.672	ok
Freescale2	hybrid-async	patoh	w700	4	1.153877	0.003053394	0.718	ok
Freescale2	hybrid-async	patoh	w800	4	1.125213	0.003015459	0.737	ok
Freescale2	hybrid-async	patoh	w900	4	1.07501	0.00303064	0.771	ok
Freescale2	hybrid-async-dp	naive	w100	4	2.644453	0.003018683	0.313	ok
Freescale2	hybrid-async-dp	naive	w1000	4	0.921229	0.004606614	0.9	ok
Freescale2	hybrid-async-dp	naive	w1100	4	0.860696		0.963	ok
Freescale2	hybrid-async-dp	naive	w1200	4	0.843336	0.003410843	0.983	ok
Freescale2	hybrid-async-dp	naive	w2000	4	0.773513	0.003018159	1.072	ok
Freescale2	hybrid-async-dp	naive	w2720	4	0.732703	0.003002838	1.131	ok
Freescale2	hybrid-async-dp	naive	w400	4	1.379219	0.003913697	0.601	ok
Freescale2	hybrid-async-dp	naive	w500	4	1.216465	0.003236898	0.681	ok
Freescale2	hybrid-async-dp	naive	w600	4	1.111964		0.745	ok
Freescale2	hybrid-async-dp	naive	w700	4	1.042971	0.004312101	0.795	ok
Freescale2	hybrid-async-dp	naive	w800	4	0.995175	0.003182452	0.833	ok
Freescale2	hybrid-async-dp	naive	w900	4	0.939303	0.003882461	0.882	ok
Freescale2	hybrid-async-dp	patoh	w100	4	2.611646	0.003050851	0.317	ok
Freescale2	hybrid-async-dp	patoh	w1000	4	0.882851		0.939	ok
Freescale2	hybrid-async-dp	patoh	w1100	4	0.839628	0.003171633	0.987	ok
Freescale2	hybrid-async-dp	patoh	w1200	4	0.821858	0.003048703	1.009	ok
