matrix	rows	cols	nnz	field	symmetry	kind
1138_bus	1138	1138	2596	real	symmetric	power network problem
2D_54019_highK	54019	54019	996414	real	general	semiconductor device problem
3D_28984_Tetra	28984	28984	599170	real	general	semiconductor device problem
3D_51448_3D	51448	51448	1056610	real	general	semiconductor device problem
ABACUS_shell_ud	23412	23412	218484	real	general	model reduction problem
ABACUS_shell_ud_K	23412	23412	216082	real	general	
ABACUS_shell_ud_M	23412	23412	206474	real	general	
ACTIVSg10K	20000	20000	137736	real	general	power network problem
ASIC_100k	99340	99340	954163	real	general	circuit simulation problem
ASIC_100k_mc64_5	99340	99340	940621	real	general	
ASIC_100k_withzeros	99340	99340	940696	real	general	
ASIC_100ks	99190	99190	578890	real	general	circuit simulation problem
ASIC_320k	321821	321821	2635364	real	general	circuit simulation problem
ASIC_320ks	321671	321671	1827807	real	general	circuit simulation problem
ASIC_680k	682862	682862	3871773	real	general	circuit simulation problem
ASIC_680ks	682712	682712	2329176	real	general	circuit simulation problem
Baumann	112211	112211	760631	real	general	2D/3D problem
Chebyshev4	68121	68121	5377761	real	general	structural problem
Copy_of_Hamrle_test_mc64	32	32	181	real	general	
CoupCons3D	416800	416800	22322336	real	general	structural problem
FA	10617	10617	72176	real	general	directed weighted graph
FEM_3D_thermal1	17880	17880	430740	real	general	thermal problem
FEM_3D_thermal2	147900	147900	3489300	real	general	thermal problem
Freescale1	3428755	3428755	18920347	real	general	circuit simulation problem
Freescale2	2999349	2999349	23042677	real	general	circuit simulation matrix
FullChip	2987012	2987012	26621990	real	general	circuit simulation problem
Goodwin_030	10142	10142	312814	real	general	computational fluid dynamics
Goodwin_040	17922	17922	561677	real	general	computational fluid dynamics
Goodwin_054	32510	32510	1030878	real	general	computational fluid dynamics
Goodwin_071	56021	56021	1797934	real	general	computational fluid dynamics
Goodwin_095	100037	100037	3226066	real	general	computational fluid dynamics
Goodwin_127	178437	178437	5778545	real	general	computational fluid dynamics
Hamrle1	32	32	98	real	general	circuit simulation problem
Hamrle3	1447360	1447360	5514242	real	general	circuit simulation problem
Hamrle_test	32	32	181	real	general	
Hamrle_test2	32	32	206	real	general	
Hamrle_test2_A	30	30	110	real	general	
Hamrle_test2_uB	30	3	90	real	general	
Hamrle_test3	32	32	160	real	general	
Hamrle_test_mc64	32	32	181	real	general	
Ill_Stokes	20896	20896	191368	real	general	computational fluid dynamics problem
LFAT5	14	14	30	real	symmetric	model reduction problem
LFAT5_M	14	14	30	real	symmetric	
LeGresley_87936	87936	87936	593276	real	general	power network problem
ML_Geer	1504002	1504002	110879972	real	general	structural problem
ML_Laplace	377002	377002	27689972	real	general	structural problem
PR02R	161070	161070	8185136	real	general	computational fluid dynamics problem
RM07R	381689	381689	37464962	real	general	computational fluid dynamics problem
Raj1	263743	263743	1302464	real	general	circuit simulation problem
TSOPF_RS_b162_c3	15374	15374	610299	real	general	power network problem
TSOPF_RS_b162_c4	20374	20374	812749	real	general	power network problem
TSOPF_RS_b2052_c1	25626	25626	6761100	real	general	power network problem
TSOPF_RS_b2383	38120	38120	16171169	real	general	power network problem
TSOPF_RS_b2383_c1	38120	38120	16171169	real	general	power network problem
