iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000543832779	0.000410079956	0.000226020813	0	0	0	0
1	0.0005402565	7.48634338e-05	5.17368317e-05	0	0	0	0
2	0.000540733337	7.62939453e-05	5.00679016e-05	0	0	0	0
3	0.000538825989	7.91549683e-05	5.00679016e-05	0	0	0	0
4	0.0005402565	7.58171082e-05	5.07831573e-05	0	0	0	0
5	0.000539779663	7.62939453e-05	5.10215759e-05	0	0	0	0
6	0.000539064407	7.62939453e-05	5.17368317e-05	0	0	0	0
7	0.000541210175	7.58171082e-05	4.9829483e-05	0	0	0	0
8	0.000538825989	7.7009201e-05	5.12599945e-05	0	0	0	0
9	0.000538110733	7.89165497e-05	5.10215759e-05	0	0	0	0
10	0.0005402565	7.58171082e-05	4.9829483e-05	0	0	0	0
11	0.000540018082	7.58171082e-05	5.00679016e-05	0	0	0	0
12	0.000539779663	7.60555267e-05	4.91142273e-05	0	0	0	0
13	0.000539302826	7.67707825e-05	4.9829483e-05	0	0	0	0
14	0.000539779663	7.72476196e-05	4.91142273e-05	0	0	0	0
15	0.000538110733	7.67707825e-05	5.10215759e-05	0	0	0	0
16	0.000540733337	7.7009201e-05	4.93526459e-05	0	0	0	0
17	0.0005402565	7.67707825e-05	4.88758087e-05	0	0	0	0
18	0.000539779663	7.7009201e-05	5.03063202e-05	0	0	0	0
19	0.000539302826	7.48634338e-05	5.17368317e-05	0	0	0	0
20	0.000538825989	7.7009201e-05	5.12599945e-05	0	0	0	0
21	0.000538110733	7.58171082e-05	5.10215759e-05	0	0	0	0
22	0.000539779663	7.7009201e-05	4.91142273e-05	0	0	0	0
23	0.000540018082	7.58171082e-05	5.00679016e-05	0	0	0	0
24	0.000538110733	7.60555267e-05	5.07831573e-05	0	0	0	0
25	0.000538825989	7.7009201e-05	5.12599945e-05	0	0	0	0
26	0.0005402565	7.7009201e-05	4.95910645e-05	0	0	0	0
27	0.000539064407	7.58171082e-05	5.10215759e-05	0	0	0	0
28	0.000538825989	7.60555267e-05	5.10215759e-05	0	0	0	0
29	0.000539064407	7.60555267e-05	5.10215759e-05	0	0	0	0
30	0.000539302826	7.67707825e-05	5.07831573e-05	0	0	0	0
31	0.000537872314	7.82012939e-05	5.19752502e-05	0	0	0	0
32	0.000538825989	7.60555267e-05	5.12599945e-05	0	0	0	0
33	0.000539302826	7.58171082e-05	5.17368317e-05	0	0	0	0
34	0.000540018082	7.7009201e-05	5.00679016e-05	0	0	0	0
35	0.000539779663	7.79628754e-05	4.93526459e-05	0	0	0	0
36	0.0005402565	7.67707825e-05	4.9829483e-05	0	0	0	0
37	0.000538825989	7.60555267e-05	5.22136688e-05	0	0	0	0
38	0.000539302826	7.67707825e-05	5.07831573e-05	0	0	0	0
39	0.000538110733	7.7009201e-05	5.19752502e-05	0	0	0	0
40	0.000539779663	7.60555267e-05	5.12599945e-05	0	0	0	0
41	0.0005402565	7.46250153e-05	5.19752502e-05	0	0	0	0
42	0.000538825989	7.7009201e-05	5.03063202e-05	0	0	0	0
43	0.000538110733	7.79628754e-05	5.07831573e-05	0	0	0	0
44	0.000538825989	7.7009201e-05	5.03063202e-05	0	0	0	0
45	0.0005402565	7.58171082e-05	4.9829483e-05	0	0	0	0
46	0.000539779663	7.60555267e-05	5.12599945e-05	0	0	0	0
47	0.000539064407	7.89165497e-05	5.00679016e-05	0	0	0	0
48	0.000539064407	7.7009201e-05	5.07831573e-05	0	0	0	0
49	0.000539064407	7.60555267e-05	4.9829483e-05	0	0	0	0
50	0.000540018082	7.82012939e-05	4.88758087e-05	0	0	0	0
51	0.000539064407	7.7009201e-05	4.9829483e-05	0	0	0	0
52	0.000541210175	7.79628754e-05	4.88758087e-05	0	0	0	0
53	0.000537872314	7.60555267e-05	5.12599945e-05	0	0	0	0
54	0.000539064407	7.7009201e-05	4.9829483e-05	0	0	0	0
55	0.000537872314	7.89165497e-05	5.12599945e-05	0	0	0	0
56	0.000539779663	7.58171082e-05	5.34057617e-05	0	0	0	0
57	0.000539302826	7.67707825e-05	5.19752502e-05	0	0	0	0
58	0.000541210175	7.67707825e-05	5.10215759e-05	0	0	0	0
59	0.000539302826	7.67707825e-05	5.07831573e-05	0	0	0	0
60	0.000540018082	7.7009201e-05	5.00679016e-05	0	0	0	0
61	0.000538825989	7.60555267e-05	5.10215759e-05	0	0	0	0
62	0.000540018082	7.72476196e-05	4.9829483e-05	0	0	0	0
63	0.000538110733	7.60555267e-05	5.17368317e-05	0	0	0	0
64	0.000540018082	7.72476196e-05	4.9829483e-05	0	0	0	0
65	0.000538825989	7.48634338e-05	5.22136688e-05	0	0	0	0
66	0.0005402565	7.67707825e-05	5.07831573e-05	0	0	0	0
67	0.000538825989	7.74860382e-05	5.07831573e-05	0	0	0	0
68	0.000538825989	7.79628754e-05	4.91142273e-05	0	0	0	0
69	0.000540018082	7.62939453e-05	5.07831573e-05	0	0	0	0
70	0.000538825989	7.7009201e-05	5.00679016e-05	0	0	0	0
71	0.0005402565	7.79628754e-05	5.07831573e-05	0	0	0	0
72	0.000540018082	7.62939453e-05	5.07831573e-05	0	0	0	0
73	0.000538825989	7.7009201e-05	5.22136688e-05	0	0	0	0
74	0.0005402565	7.7009201e-05	5.07831573e-05	0	0	0	0
75	0.000537157059	7.67707825e-05	5.10215759e-05	0	0	0	0
76	0.000540018082	7.58171082e-05	5.10215759e-05	0	0	0	0
77	0.000539064407	7.7009201e-05	5.10215759e-05	0	0	0	0
78	0.000539779663	7.60555267e-05	5.22136688e-05	0	0	0	0
79	0.000539779663	7.60555267e-05	5.22136688e-05	0	0	0	0
80	0.000539779663	7.60555267e-05	5.22136688e-05	0	0	0	0
81	0.000540018082	7.77244568e-05	5.12599945e-05	0	0	0	0
82	0.000539779663	7.7009201e-05	5.12599945e-05	0	0	0	0
83	0.000539302826	7.67707825e-05	5.07831573e-05	0	0	0	0
84	0.000538110733	7.67707825e-05	5.10215759e-05	0	0	0	0
85	0.000538825989	7.60555267e-05	5.10215759e-05	0	0	0	0
86	0.000539064407	7.7009201e-05	5.19752502e-05	0	0	0	0
87	0.000539779663	7.60555267e-05	5.12599945e-05	0	0	0	0
88	0.0005402565	7.89165497e-05	4.76837158e-05	0	0	0	0
89	0.000537872314	7.72476196e-05	5.10215759e-05	0	0	0	0
90	0.000539064407	7.79628754e-05	4.9829483e-05	0	0	0	0
91	0.000539064407	7.7009201e-05	5.19752502e-05	0	0	0	0
92	0.000539779663	7.60555267e-05	5.12599945e-05	0	0	0	0
93	0.0005402565	7.7009201e-05	5.07831573e-05	0	0	0	0
94	0.000539302826	7.67707825e-05	5.07831573e-05	0	0	0	0
95	0.000538825989	7.7009201e-05	5.03063202e-05	0	0	0	0
96	0.0005402565	7.86781311e-05	4.88758087e-05	0	0	0	0
97	0.000541210175	7.7009201e-05	4.9829483e-05	0	0	0	0
98	0.000539779663	7.7009201e-05	5.03063202e-05	0	0	0	0
99	0.0005402565	7.7009201e-05	4.86373901e-05	0	0	0	0
100	0.000537872314	7.82012939e-05	5.00679016e-05	0	0	0	0
101	0.000539064407	7.58171082e-05	5.19752502e-05	0	0	0	0
102	0.000539064407	7.7009201e-05	5.10215759e-05	0	0	0	0
103	0.000537872314	7.7009201e-05	5.12599945e-05	0	0	0	0
104	0.000539302826	7.67707825e-05	5.17368317e-05	0	0	0	0
105	0.000539064407	7.82012939e-05	5.17368317e-05	0	0	0	0
106	0.000539064407	7.60555267e-05	5.10215759e-05	0	0	0	0
107	0.000539064407	7.60555267e-05	5.07831573e-05	0	0	0	0
108	0.000539064407	7.79628754e-05	5.10215759e-05	0	0	0	0
109	0.000538825989	7.60555267e-05	5.22136688e-05	0	0	0	0
110	0.000538825989	7.79628754e-05	5.22136688e-05	0	0	0	0
111	0.000540018082	7.79628754e-05	5.10215759e-05	0	0	0	0
112	0.000538349152	7.77244568e-05	5.07831573e-05	0	0	0	0
113	0.000539779663	7.62939453e-05	5.10215759e-05	0	0	0	0
114	0.000538825989	7.79628754e-05	4.93526459e-05	0	0	0	0
115	0.000538825989	7.60555267e-05	5.00679016e-05	0	0	0	0
116	0.000539779663	7.79628754e-05	5.03063202e-05	0	0	0	0
117	0.000540971756	7.7009201e-05	5.00679016e-05	0	0	0	0
118	0.0005402565	7.7009201e-05	5.17368317e-05	0	0	0	0
119	0.0005402565	7.67707825e-05	5.07831573e-05	0	0	0	0
120	0.000538825989	7.72476196e-05	5.00679016e-05	0	0	0	0
121	0.000539779663	7.60555267e-05	5.10215759e-05	0	0	0	0
