iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000593185425	0.000205993652	0.000530004501	0	0	0	0
1	0.000593900681	0.000197172165	0.000410795212	0	0	0	0
2	0.000592947006	0.000195026398	0.000414133072	0	0	0	0
3	0.000593900681	0.000202178955	0.000411987305	0	0	0	0
4	0.000594854355	0.000197172165	0.000413894653	0	0	0	0
5	0.000593662262	0.000195264816	0.000415086746	0	0	0	0
6	0.000592947006	0.000198125839	0.000412940979	0	0	0	0
7	0.000594139099	0.000195741653	0.00041103363	0	0	0	0
8	0.000595092773	0.000194787979	0.000415086746	0	0	0	0
9	0.000594139099	0.000196933746	0.000414133072	0	0	0	0
10	0.000595092773	0.000193834305	0.000412940979	0	0	0	0
11	0.000592947006	0.000200986862	0.000412225723	0	0	0	0
12	0.000592947006	0.000194072723	0.000413894653	0	0	0	0
13	0.000592947006	0.000198125839	0.000416994095	0	0	0	0
14	0.000594139099	0.000195026398	0.000415802002	0	0	0	0
15	0.000595092773	0.000196933746	0.000415086746	0	0	0	0
16	0.000593900681	0.000200986862	0.000412940979	0	0	0	0
17	0.000592947006	0.000194072723	0.000414133072	0	0	0	0
18	0.000595092773	0.000199079514	0.000413656235	0	0	0	0
19	0.000595092773	0.000199079514	0.000416040421	0	0	0	0
20	0.000596046448	0.000198125839	0.00041270256	0	0	0	0
21	0.000594854355	0.000196218491	0.000416040421	0	0	0	0
22	0.000593662262	0.000194072723	0.000411272049	0	0	0	0
23	0.000595092773	0.000193834305	0.00041103363	0	0	0	0
24	0.000595808029	0.000195264816	0.000411987305	0	0	0	0
25	0.000592708588	0.000194311142	0.000416040421	0	0	0	0
26	0.000594139099	0.000190734863	0.000412940979	0	0	0	0
27	0.000594139099	0.000196933746	0.000414848328	0	0	0	0
28	0.000594139099	0.000197887421	0.000411987305	0	0	0	0
29	0.000595092773	0.000196933746	0.00041103363	0	0	0	0
30	0.000594139099	0.000194072723	0.000414848328	0	0	0	0
31	0.000595092773	0.000201225281	0.000413656235	0	0	0	0
32	0.000596046448	0.000197172165	0.000417709351	0	0	0	0
33	0.000594139099	0.000195741653	0.00041103363	0	0	0	0
34	0.000593185425	0.000194787979	0.000410079956	0	0	0	0
35	0.000593900681	0.000195026398	0.000416040421	0	0	0	0
36	0.000596046448	0.000196933746	0.000412940979	0	0	0	0
37	0.000593185425	0.000200033188	0.000414848328	0	0	0	0
38	0.000594854355	0.000194072723	0.000416040421	0	0	0	0
39	0.000594854355	0.000194787979	0.000411272049	0	0	0	0
40	0.000593662262	0.000193357468	0.000414133072	0	0	0	0
41	0.000597000122	0.000199079514	0.000413894653	0	0	0	0
42	0.000593185425	0.000196695328	0.00041103363	0	0	0	0
43	0.000595092773	0.000195026398	0.000416040421	0	0	0	0
44	0.000594139099	0.000194787979	0.000413894653	0	0	0	0
45	0.000593900681	0.000198125839	0.000408887863	0	0	0	0
46	0.000592947006	0.000195026398	0.000416040421	0	0	0	0
47	0.000596046448	0.000205993652	0.000417947769	0	0	0	0
48	0.000593185425	0.00019288063	0.000413894653	0	0	0	0
49	0.000593185425	0.000199794769	0.000411987305	0	0	0	0
50	0.000594139099	0.000197887421	0.000410079956	0	0	0	0
51	0.000595092773	0.000195980072	0.000413894653	0	0	0	0
52	0.000595092773	0.000194787979	0.000416040421	0	0	0	0
53	0.000592947006	0.000195980072	0.000411987305	0	0	0	0
54	0.000595092773	0.00019288063	0.000411987305	0	0	0	0
55	0.000591754913	0.000194072723	0.000414133072	0	0	0	0
56	0.000594139099	0.000195980072	0.000416040421	0	0	0	0
57	0.000594854355	0.000195026398	0.000414133072	0	0	0	0
58	0.000596046448	0.000195980072	0.000418901443	0	0	0	0
59	0.000591754913	0.000194072723	0.000417232513	0	0	0	0
60	0.000595808029	0.000193119049	0.000415086746	0	0	0	0
61	0.000594854355	0.000195980072	0.000415086746	0	0	0	0
62	0.000594139099	0.000190973282	0.000415086746	0	0	0	0
63	0.000595092773	0.000193834305	0.000412940979	0	0	0	0
64	0.000592947006	0.000193119049	0.000416040421	0	0	0	0
65	0.000594139099	0.000195026398	0.000413894653	0	0	0	0
66	0.000592947006	0.000193834305	0.00041103363	0	0	0	0
67	0.000596046448	0.000193119049	0.000416994095	0	0	0	0
68	0.000596046448	0.000201940536	0.000407934189	0	0	0	0
69	0.000593900681	0.000202178955	0.000411987305	0	0	0	0
70	0.000594139099	0.000196933746	0.000418901443	0	0	0	0
71	0.000593900681	0.000196218491	0.000406980515	0	0	0	0
72	0.000596046448	0.000199079514	0.000411987305	0	0	0	0
73	0.000592708588	0.000193119049	0.000414133072	0	0	0	0
74	0.000595092773	0.000195980072	0.000409841537	0	0	0	0
75	0.000592947006	0.000194072723	0.000416994095	0	0	0	0
76	0.000593900681	0.000191926956	0.000415086746	0	0	0	0
77	0.000594139099	0.00019288063	0.000413894653	0	0	0	0
78	0.000594139099	0.00019288063	0.000413894653	0	0	0	0
79	0.000594139099	0.000193834305	0.000416040421	0	0	0	0
80	0.000594854355	0.000197172165	0.000414133072	0	0	0	0
81	0.000596046448	0.000195741653	0.000414133072	0	0	0	0
82	0.000596046448	0.000197172165	0.000414848328	0	0	0	0
83	0.000594139099	0.000190973282	0.000414848328	0	0	0	0
84	0.000592947006	0.000195980072	0.000414133072	0	0	0	0
85	0.000593900681	0.000195980072	0.000417947769	0	0	0	0
86	0.000594139099	0.000195026398	0.000416040421	0	0	0	0
87	0.000592947006	0.000196218491	0.000417709351	0	0	0	0
88	0.000592947006	0.000195026398	0.00041103363	0	0	0	0
89	0.000593185425	0.000191926956	0.000419855118	0	0	0	0
90	0.000595808029	0.000195026398	0.000414133072	0	0	0	0
91	0.000593900681	0.000192165375	0.000413894653	0	0	0	0
92	0.000595092773	0.00019288063	0.000412940979	0	0	0	0
93	0.000592947006	0.000195026398	0.000416040421	0	0	0	0
94	0.000594854355	0.000195980072	0.000414133072	0	0	0	0
95	0.000596046448	0.000194787979	0.000414133072	0	0	0	0
96	0.000595092773	0.000190973282	0.000413894653	0	0	0	0
97	0.000595092773	0.000197887421	0.000411987305	0	0	0	0
98	0.000593900681	0.000195026398	0.00041103363	0	0	0	0
99	0.000597000122	0.000194072723	0.000413894653	0	0	0	0
100	0.000594139099	0.000194787979	0.000408887863	0	0	0	0
101	0.000593900681	0.000194072723	0.000414133072	0	0	0	0
102	0.000595092773	0.000195980072	0.000412940979	0	0	0	0
103	0.000592947006	0.00019288063	0.000415086746	0	0	0	0
104	0.000594139099	0.000193834305	0.000416040421	0	0	0	0
105	0.000594139099	0.000196933746	0.000411987305	0	0	0	0
106	0.000592947006	0.000195980072	0.00041103363	0	0	0	0
107	0.000595092773	0.000194787979	0.000409126282	0	0	0	0
108	0.000594139099	0.000197172165	0.00041270256	0	0	0	0
109	0.000592947006	0.000195026398	0.000416040421	0	0	0	0
110	0.000594854355	0.000196218491	0.000410795212	0	0	0	0
111	0.000595092773	0.000195026398	0.000418901443	0	0	0	0
112	0.000593662262	0.000197172165	0.000414133072	0	0	0	0
113	0.000593900681	0.000194072723	0.000414133072	0	0	0	0
114	0.000593185425	0.000197887421	0.000406980515	0	0	0	0
115	0.000595092773	0.000195026398	0.000413894653	0	0	0	0
116	0.000593900681	0.000198125839	0.000414848328	0	0	0	0
117	0.000592947006	0.000198841095	0.000411987305	0	0	0	0
118	0.000595092773	0.000196933746	0.000415086746	0	0	0	0
119	0.000595092773	0.000191926956	0.000411987305	0	0	0	0
120	0.000597953796	0.000195980072	0.000409126282	0	0	0	0
121	0.000592947006	0.000196933746	0.000416040421	0	0	0	0
122	0.000593185425	0.000196933746	0.000411987305	0	0	0	0
123	0.000592947006	0.000195026398	0.000412940979	0	0	0	0
124	0.000592947006	0.000198125839	0.000414848328	0	0	0	0
125	0.000590085983	0.000195980072	0.000416994095	0	0	0	0
126	0.000591993332	0.000195264816	0.000412940979	0	0	0	0
127	0.000591039658	0.000195980072	0.000415802002	0	0	0	0
128	0.000594139099	0.000195026398	0.000412940979	0	0	0	0
129	0.000592947006	0.000198841095	0.000413179398	0	0	0	0
130	0.000592947006	0.000194072723	0.00041103363	0	0	0	0
131	0.000591754913	0.0001912117	0.000412940979	0	0	0	0
132	0.000592708588	0.000195026398	0.000413417816	0	0	0	0
133	0.000593185425	0.00019288063	0.000409841537	0	0	0	0
134	0.000592708588	0.000195264816	0.000412940979	0	0	0	0
135	0.000593185425	0.000195980072	0.000416755676	0	0	0	0
136	0.000591993332	0.000198125839	0.000410079956	0	0	0	0
137	0.000592947006	0.000194072723	0.000412940979	0	0	0	0
138	0.000592708588	0.000194072723	0.000413179398	0	0	0	0
139	0.000593900681	0.000195026398	0.000414133072	0	0	0	0
140	0.000591993332	0.000196218491	0.000415802002	0	0	0	0
141	0.000592947006	0.000195026398	0.000415086746	0	0	0	0
142	0.000595092773	0.000195741653	0.000412940979	0	0	0	0
143	0.000594139099	0.000193119049	0.000417947769	0	0	0	0
144	0.000592708588	0.000196218491	0.00041103363	0	0	0	0
145	0.000592947006	0.000193834305	0.000414133072	0	0	0	0
146	0.000591754913	0.000195264816	0.000414848328	0	0	0	0
147	0.000591993332	0.000194072723	0.000412940979	0	0	0	0
148	0.000590801239	0.000198125839	0.000415086746	0	0	0	0
149	0.00059223175	0.00019288063	0.000413894653	0	0	0	0
150	0.000591754913	0.000199317932	0.000416994095	0	0	0	0
151	0.000592947006	0.000195026398	0.000412940979	0	0	0	0
152	0.000591754913	0.000197172165	0.000414133072	0	0	0	0
153	0.00059223175	0.000197887421	0.000413894653	0	0	0	0
154	0.000592947006	0.000196933746	0.000415086746	0	0	0	0
155	0.00059223175	0.000196695328	0.000411987305	0	0	0	0
156	0.000591039658	0.000191926956	0.000412940979	0	0	0	0
157	0.000593900681	0.000193119049	0.000414133072	0	0	0	0
158	0.000594139099	0.000200033188	0.000416755676	0	0	0	0
159	0.000592708588	0.000197172165	0.000411987305	0	0	0	0
160	0.000594615936	0.000198364258	0.000412225723	0	0	0	0
161	0.000591993332	0.000200033188	0.000411987305	0	0	0	0
162	0.000591754913	0.000192165375	0.000413894653	0	0	0	0
163	0.000594139099	0.000195980072	0.000416040421	0	0	0	0
164	0.000592708588	0.000196218491	0.00041103363	0	0	0	0
165	0.000603199005	0.000194787979	0.000411987305	0	0	0	0
166	0.000591993332	0.000195026398	0.000416994095	0	0	0	0
167	0.000592708588	0.000193357468	0.000415086746	0	0	0	0
168	0.000591993332	0.000194072723	0.000415802002	0	0	0	0
169	0.000591754913	0.000195264816	0.000416040421	0	0	0	0
170	0.000591754913	0.000193119049	0.000411987305	0	0	0	0
171	0.000593900681	0.000197172165	0.000410079956	0	0	0	0
172	0.000591754913	0.000196933746	0.000416278839	0	0	0	0
173	0.000594139099	0.000195741653	0.000410079956	0	0	0	0
174	0.000592947006	0.000194072723	0.000420093536	0	0	0	0
175	0.000592708588	0.000196218491	0.000416040421	0	0	0	0
176	0.000590801239	0.000198125839	0.000410079956	0	0	0	0
177	0.000594139099	0.000195026398	0.000414848328	0	0	0	0
178	0.000591993332	0.000196218491	0.000408887863	0	0	0	0
179	0.000591993332	0.000197172165	0.000414848328	0	0	0	0
180	0.000594139099	0.000193834305	0.000413894653	0	0	0	0
181	0.000591993332	0.000194072723	0.000416994095	0	0	0	0
182	0.000591993332	0.00019288063	0.000414133072	0	0	0	0
183	0.000591993332	0.000195026398	0.000414133072	0	0	0	0
184	0.000593900681	0.000195026398	0.000412940979	0	0	0	0
185	0.000592947006	0.000195026398	0.000414133072	0	0	0	0
186	0.00059223175	0.00019288063	0.000415802002	0	0	0	0
187	0.000591754913	0.000194072723	0.000412225723	0	0	0	0
188	0.000592708588	0.000195264816	0.000416994095	0	0	0	0
189	0.000593900681	0.000201225281	0.000413894653	0	0	0	0
190	0.000593662262	0.000190973282	0.000416278839	0	0	0	0
191	0.000591754913	0.000195264816	0.000419139862	0	0	0	0
192	0.00059223175	0.000195980072	0.000416755676	0	0	0	0
193	0.000593185425	0.000189781189	0.000413894653	0	0	0	0
194	0.000593185425	0.000193834305	0.000416040421	0	0	0	0
195	0.000591993332	0.000195264816	0.000418901443	0	0	0	0
196	0.000591993332	0.000197172165	0.000414848328	0	0	0	0
197	0.000593900681	0.000193119049	0.000417947769	0	0	0	0
198	0.000591754913	0.000193119049	0.000417947769	0	0	0	0
199	0.000594854355	0.000197172165	0.000412940979	0	0	0	0
