iter	spmv	dot	vecops	comm	allreduce	sync	other
0	3.71932983e-05	0.000420093536	0.000195980072	0	0	0	0
1	3.38554382e-05	7.91549683e-05	3.0040741e-05	0	0	0	0
2	3.52859497e-05	7.89165497e-05	2.88486481e-05	0	0	0	0
3	3.43322754e-05	7.79628754e-05	3.07559967e-05	0	0	0	0
4	3.43322754e-05	7.7009201e-05	3.07559967e-05	0	0	0	0
5	3.38554382e-05	7.9870224e-05	3.02791595e-05	0	0	0	0
6	3.38554382e-05	7.7009201e-05	3.21865082e-05	0	0	0	0
7	3.43322754e-05	7.7009201e-05	2.98023224e-05	0	0	0	0
8	3.40938568e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
9	3.31401825e-05	7.67707825e-05	2.98023224e-05	0	0	0	0
10	3.40938568e-05	7.67707825e-05	2.90870667e-05	0	0	0	0
11	3.29017639e-05	7.72476196e-05	3.0040741e-05	0	0	0	0
12	3.38554382e-05	7.82012939e-05	2.90870667e-05	0	0	0	0
13	3.38554382e-05	7.96318054e-05	3.02791595e-05	0	0	0	0
14	3.38554382e-05	7.79628754e-05	3.12328339e-05	0	0	0	0
15	3.38554382e-05	7.91549683e-05	3.09944153e-05	0	0	0	0
16	3.43322754e-05	7.9870224e-05	2.98023224e-05	0	0	0	0
17	3.40938568e-05	7.89165497e-05	3.0040741e-05	0	0	0	0
18	3.48091125e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
19	3.38554382e-05	7.91549683e-05	3.09944153e-05	0	0	0	0
20	3.38554382e-05	8.05854797e-05	3.07559967e-05	0	0	0	0
21	3.40938568e-05	8.01086426e-05	2.98023224e-05	0	0	0	0
22	3.38554382e-05	7.72476196e-05	3.0040741e-05	0	0	0	0
23	3.40938568e-05	7.89165497e-05	3.0040741e-05	0	0	0	0
24	3.52859497e-05	7.89165497e-05	3.07559967e-05	0	0	0	0
25	3.38554382e-05	7.89165497e-05	3.21865082e-05	0	0	0	0
26	3.40938568e-05	7.89165497e-05	2.98023224e-05	0	0	0	0
27	3.33786011e-05	7.60555267e-05	2.98023224e-05	0	0	0	0
28	3.43322754e-05	7.7009201e-05	3.07559967e-05	0	0	0	0
29	3.43322754e-05	7.9870224e-05	2.98023224e-05	0	0	0	0
30	3.31401825e-05	7.60555267e-05	3.07559967e-05	0	0	0	0
31	3.40938568e-05	7.89165497e-05	3.0040741e-05	0	0	0	0
32	3.40938568e-05	7.89165497e-05	3.0040741e-05	0	0	0	0
33	3.52859497e-05	7.79628754e-05	2.98023224e-05	0	0	0	0
34	3.52859497e-05	7.79628754e-05	2.98023224e-05	0	0	0	0
35	3.29017639e-05	7.60555267e-05	3.0040741e-05	0	0	0	0
36	3.38554382e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
37	3.38554382e-05	7.91549683e-05	3.0040741e-05	0	0	0	0
38	3.29017639e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
39	3.29017639e-05	7.60555267e-05	3.0040741e-05	0	0	0	0
40	3.43322754e-05	7.7009201e-05	2.88486481e-05	0	0	0	0
41	3.31401825e-05	7.7009201e-05	2.90870667e-05	0	0	0	0
42	3.38554382e-05	7.77244568e-05	2.90870667e-05	0	0	0	0
43	3.38554382e-05	7.67707825e-05	2.93254852e-05	0	0	0	0
44	3.40938568e-05	7.58171082e-05	3.21865082e-05	0	0	0	0
45	3.29017639e-05	7.89165497e-05	3.0040741e-05	0	0	0	0
46	3.40938568e-05	7.67707825e-05	2.98023224e-05	0	0	0	0
47	3.38554382e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
48	3.38554382e-05	7.91549683e-05	3.0040741e-05	0	0	0	0
49	3.40938568e-05	7.7009201e-05	2.98023224e-05	0	0	0	0
50	3.43322754e-05	7.79628754e-05	2.98023224e-05	0	0	0	0
51	3.43322754e-05	7.9870224e-05	2.98023224e-05	0	0	0	0
52	3.33786011e-05	7.79628754e-05	3.07559967e-05	0	0	0	0
53	3.43322754e-05	7.7009201e-05	2.98023224e-05	0	0	0	0
54	3.40938568e-05	7.79628754e-05	3.07559967e-05	0	0	0	0
55	3.29017639e-05	7.62939453e-05	3.0040741e-05	0	0	0	0
56	3.38554382e-05	7.67707825e-05	3.0040741e-05	0	0	0	0
57	3.40938568e-05	7.77244568e-05	3.0040741e-05	0	0	0	0
58	3.38554382e-05	7.79628754e-05	3.02791595e-05	0	0	0	0
59	3.40938568e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
60	3.38554382e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
61	3.31401825e-05	7.60555267e-05	3.0040741e-05	0	0	0	0
62	3.40938568e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
63	3.38554382e-05	7.79628754e-05	3.02791595e-05	0	0	0	0
64	3.29017639e-05	7.60555267e-05	3.0040741e-05	0	0	0	0
65	3.40938568e-05	7.7009201e-05	2.98023224e-05	0	0	0	0
66	3.40938568e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
67	3.29017639e-05	8.10623169e-05	3.0040741e-05	0	0	0	0
68	3.38554382e-05	7.82012939e-05	3.0040741e-05	0	0	0	0
69	3.29017639e-05	7.58171082e-05	3.0040741e-05	0	0	0	0
70	3.40938568e-05	7.7009201e-05	2.88486481e-05	0	0	0	0
71	3.38554382e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
72	3.29017639e-05	7.48634338e-05	3.21865082e-05	0	0	0	0
73	3.29017639e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
74	3.40938568e-05	7.7009201e-05	2.98023224e-05	0	0	0	0
75	3.31401825e-05	7.7009201e-05	2.98023224e-05	0	0	0	0
76	3.29017639e-05	7.58171082e-05	2.90870667e-05	0	0	0	0
77	3.19480896e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
78	3.38554382e-05	7.72476196e-05	2.98023224e-05	0	0	0	0
79	3.43322754e-05	7.7009201e-05	2.88486481e-05	0	0	0	0
80	3.40938568e-05	7.7009201e-05	3.09944153e-05	0	0	0	0
81	3.29017639e-05	7.82012939e-05	2.98023224e-05	0	0	0	0
82	3.38554382e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
83	3.31401825e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
84	3.31401825e-05	7.60555267e-05	2.90870667e-05	0	0	0	0
85	3.29017639e-05	7.77244568e-05	2.90870667e-05	0	0	0	0
86	3.38554382e-05	7.7009201e-05	3.12328339e-05	0	0	0	0
87	3.40938568e-05	7.60555267e-05	3.0040741e-05	0	0	0	0
88	3.29017639e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
89	3.29017639e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
90	3.38554382e-05	7.79628754e-05	2.90870667e-05	0	0	0	0
91	3.31401825e-05	7.82012939e-05	2.98023224e-05	0	0	0	0
92	3.43322754e-05	7.7009201e-05	2.98023224e-05	0	0	0	0
93	3.43322754e-05	7.7009201e-05	2.88486481e-05	0	0	0	0
94	3.40938568e-05	7.91549683e-05	3.07559967e-05	0	0	0	0
95	3.38554382e-05	7.72476196e-05	3.0040741e-05	0	0	0	0
96	3.38554382e-05	7.60555267e-05	2.90870667e-05	0	0	0	0
97	3.29017639e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
98	3.38554382e-05	7.72476196e-05	3.0040741e-05	0	0	0	0
99	3.38554382e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
100	3.40938568e-05	7.79628754e-05	2.90870667e-05	0	0	0	0
101	3.40938568e-05	7.7009201e-05	3.09944153e-05	0	0	0	0
102	3.38554382e-05	7.91549683e-05	2.88486481e-05	0	0	0	0
103	3.29017639e-05	7.7009201e-05	3.09944153e-05	0	0	0	0
104	3.38554382e-05	7.7009201e-05	3.02791595e-05	0	0	0	0
105	3.40938568e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
106	3.29017639e-05	7.72476196e-05	3.0040741e-05	0	0	0	0
107	3.38554382e-05	7.60555267e-05	3.0040741e-05	0	0	0	0
108	3.43322754e-05	7.79628754e-05	2.98023224e-05	0	0	0	0
109	3.19480896e-05	7.7009201e-05	2.90870667e-05	0	0	0	0
110	3.38554382e-05	7.79628754e-05	2.88486481e-05	0	0	0	0
111	3.38554382e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
112	3.29017639e-05	7.79628754e-05	3.02791595e-05	0	0	0	0
113	3.40938568e-05	7.60555267e-05	2.90870667e-05	0	0	0	0
114	3.19480896e-05	7.72476196e-05	3.0040741e-05	0	0	0	0
115	3.29017639e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
116	3.40938568e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
117	3.43322754e-05	7.79628754e-05	2.88486481e-05	0	0	0	0
118	3.31401825e-05	7.48634338e-05	3.0040741e-05	0	0	0	0
119	3.40938568e-05	7.60555267e-05	2.88486481e-05	0	0	0	0
120	3.40938568e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
121	3.43322754e-05	7.89165497e-05	3.07559967e-05	0	0	0	0
122	3.40938568e-05	7.79628754e-05	2.98023224e-05	0	0	0	0
123	3.19480896e-05	7.79628754e-05	2.88486481e-05	0	0	0	0
124	3.43322754e-05	7.89165497e-05	2.98023224e-05	0	0	0	0
125	3.40938568e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
126	3.19480896e-05	7.7009201e-05	2.90870667e-05	0	0	0	0
127	3.38554382e-05	7.79628754e-05	2.90870667e-05	0	0	0	0
128	3.38554382e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
129	3.38554382e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
130	3.38554382e-05	7.9870224e-05	3.02791595e-05	0	0	0	0
131	3.40938568e-05	7.7009201e-05	3.07559967e-05	0	0	0	0
132	3.40938568e-05	7.7009201e-05	3.0040741e-05	0	0	0	0
133	3.38554382e-05	8.08238983e-05	3.02791595e-05	0	0	0	0
134	3.38554382e-05	7.79628754e-05	2.93254852e-05	0	0	0	0
135	3.40938568e-05	7.79628754e-05	3.0040741e-05	0	0	0	0
136	3.40938568e-05	7.9870224e-05	2.98023224e-05	0	0	0	0
137	3.38554382e-05	7.7009201e-05	3.02791595e-05	0	0	0	0
138	3.40938568e-05	7.60555267e-05	3.0040741e-05	0	0	0	0
139	3.48091125e-05	7.79628754e-05	3.02791595e-05	0	0	0	0
