iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.00105500221	0.000416278839	0.000202894211	0	0	0	0
1	0.000937223434	5.48362732e-05	2.38418579e-05	0	0	0	0
2	0.000936031342	5.60283661e-05	2.40802765e-05	0	0	0	0
3	0.000936985016	5.50746918e-05	2.38418579e-05	0	0	0	0
4	0.00093793869	5.48362732e-05	2.21729279e-05	0	0	0	0
5	0.000935077667	5.74588776e-05	2.2649765e-05	0	0	0	0
6	0.000935077667	5.50746918e-05	2.38418579e-05	0	0	0	0
7	0.000936031342	6.84261322e-05	3.36170197e-05	0	0	0	0
8	0.000936031342	5.50746918e-05	2.38418579e-05	0	0	0	0
9	0.000935077667	5.69820404e-05	2.38418579e-05	0	0	0	0
10	0.000935077667	5.50746918e-05	2.50339508e-05	0	0	0	0
11	0.000936985016	5.60283661e-05	2.28881836e-05	0	0	0	0
12	0.000935792923	5.19752502e-05	2.52723694e-05	0	0	0	0
13	0.000934839249	5.50746918e-05	2.31266022e-05	0	0	0	0
14	0.000934839249	5.38825989e-05	2.33650208e-05	0	0	0	0
15	0.000935077667	5.67436218e-05	2.21729279e-05	0	0	0	0
16	0.000936031342	5.57899475e-05	2.40802765e-05	0	0	0	0
17	0.000936031342	5.48362732e-05	2.52723694e-05	0	0	0	0
18	0.000936031342	5.50746918e-05	2.28881836e-05	0	0	0	0
19	0.000935077667	5.76972961e-05	2.21729279e-05	0	0	0	0
20	0.000936031342	5.57899475e-05	2.21729279e-05	0	0	0	0
21	0.000936031342	5.38825989e-05	2.31266022e-05	0	0	0	0
22	0.000935792923	5.50746918e-05	2.31266022e-05	0	0	0	0
23	0.000935792923	5.41210175e-05	2.31266022e-05	0	0	0	0
24	0.000935077667	5.41210175e-05	2.2649765e-05	0	0	0	0
25	0.000936031342	5.69820404e-05	2.31266022e-05	0	0	0	0
26	0.000937223434	5.60283661e-05	2.47955322e-05	0	0	0	0
27	0.000936031342	5.53131104e-05	2.2649765e-05	0	0	0	0
28	0.000936031342	5.4359436e-05	2.36034393e-05	0	0	0	0
29	0.000934123993	5.60283661e-05	2.2649765e-05	0	0	0	0
30	0.000935792923	5.41210175e-05	2.21729279e-05	0	0	0	0
31	0.000934839249	5.69820404e-05	2.40802765e-05	0	0	0	0
32	0.00093793869	5.53131104e-05	2.19345093e-05	0	0	0	0
33	0.000936031342	5.4359436e-05	2.2649765e-05	0	0	0	0
34	0.000935077667	5.48362732e-05	2.28881836e-05	0	0	0	0
35	0.000936031342	5.8889389e-05	2.40802765e-05	0	0	0	0
36	0.000936031342	5.60283661e-05	2.50339508e-05	0	0	0	0
37	0.000935077667	5.67436218e-05	2.7179718e-05	0	0	0	0
38	0.000936031342	5.98430634e-05	2.31266022e-05	0	0	0	0
39	0.000936031342	5.48362732e-05	2.31266022e-05	0	0	0	0
40	0.000936031342	5.38825989e-05	2.31266022e-05	0	0	0	0
41	0.000936985016	5.93662262e-05	2.16960907e-05	0	0	0	0
42	0.000936985016	5.60283661e-05	2.28881836e-05	0	0	0	0
43	0.000935792923	5.38825989e-05	2.33650208e-05	0	0	0	0
44	0.000935792923	5.38825989e-05	2.33650208e-05	0	0	0	0
45	0.000943183899	6.50882721e-05	2.38418579e-05	0	0	0	0
46	0.00093793869	5.57899475e-05	2.52723694e-05	0	0	0	0
47	0.000937223434	5.45978546e-05	2.31266022e-05	0	0	0	0
48	0.000936985016	5.55515289e-05	2.2649765e-05	0	0	0	0
49	0.000936031342	5.53131104e-05	2.2649765e-05	0	0	0	0
50	0.000936031342	5.53131104e-05	2.2649765e-05	0	0	0	0
51	0.000935077667	5.50746918e-05	2.16960907e-05	0	0	0	0
52	0.000936985016	5.60283661e-05	2.31266022e-05	0	0	0	0
53	0.000936031342	5.50746918e-05	2.28881836e-05	0	0	0	0
54	0.000936031342	5.50746918e-05	2.28881836e-05	0	0	0	0
55	0.000936031342	5.50746918e-05	2.28881836e-05	0	0	0	0
56	0.000936031342	5.41210175e-05	2.28881836e-05	0	0	0	0
57	0.00093793869	5.8889389e-05	2.31266022e-05	0	0	0	0
58	0.000936985016	5.69820404e-05	2.40802765e-05	0	0	0	0
59	0.000936031342	5.50746918e-05	2.28881836e-05	0	0	0	0
60	0.000936031342	5.50746918e-05	2.28881836e-05	0	0	0	0
61	0.000935792923	5.31673431e-05	2.40802765e-05	0	0	0	0
62	0.000936031342	5.41210175e-05	2.16960907e-05	0	0	0	0
63	0.000936031342	5.31673431e-05	2.28881836e-05	0	0	0	0
64	0.000935077667	5.36441803e-05	2.43186951e-05	0	0	0	0
65	0.000936031342	5.38825989e-05	2.31266022e-05	0	0	0	0
66	0.000935077667	5.31673431e-05	2.38418579e-05	0	0	0	0
67	0.000936985016	5.4359436e-05	2.2649765e-05	0	0	0	0
68	0.000935077667	5.48362732e-05	2.28881836e-05	0	0	0	0
69	0.000934123993	5.60283661e-05	2.28881836e-05	0	0	0	0
70	0.000935077667	5.74588776e-05	2.2649765e-05	0	0	0	0
71	0.000936031342	5.38825989e-05	2.28881836e-05	0	0	0	0
72	0.000936985016	5.36441803e-05	2.43186951e-05	0	0	0	0
73	0.000936031342	5.53131104e-05	2.16960907e-05	0	0	0	0
74	0.000934123993	5.50746918e-05	2.2649765e-05	0	0	0	0
75	0.000935792923	5.19752502e-05	2.43186951e-05	0	0	0	0
76	0.000935792923	5.48362732e-05	2.24113464e-05	0	0	0	0
77	0.000934839249	5.60283661e-05	2.31266022e-05	0	0	0	0
78	0.000935792923	5.48362732e-05	2.33650208e-05	0	0	0	0
79	0.000934839249	5.38825989e-05	2.43186951e-05	0	0	0	0
80	0.000936031342	5.38825989e-05	2.31266022e-05	0	0	0	0
81	0.000936031342	5.41210175e-05	2.28881836e-05	0	0	0	0
82	0.000936031342	5.4359436e-05	2.2649765e-05	0	0	0	0
83	0.000936031342	5.50746918e-05	2.28881836e-05	0	0	0	0
84	0.000935077667	5.50746918e-05	2.2649765e-05	0	0	0	0
