iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000326156616	0.000443935394	0.000220060349	0	0	0	0
1	0.000329017639	6.05583191e-05	2.43186951e-05	0	0	0	0
2	0.000184059143	5.69820404e-05	2.28881836e-05	0	0	0	0
3	0.000144958496	5.12599945e-05	2.0980835e-05	0	0	0	0
4	6.10351562e-05	4.91142273e-05	2.2649765e-05	0	0	0	0
5	5.38825989e-05	5.10215759e-05	2.12192535e-05	0	0	0	0
6	5.62667847e-05	4.88758087e-05	2.28881836e-05	0	0	0	0
7	5.50746918e-05	4.9829483e-05	2.19345093e-05	0	0	0	0
8	5.57899475e-05	4.93526459e-05	2.19345093e-05	0	0	0	0
9	5.50746918e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
10	5.81741333e-05	5.00679016e-05	2.16960907e-05	0	0	0	0
11	5.57899475e-05	5.07831573e-05	2.14576721e-05	0	0	0	0
12	5.7220459e-05	5.10215759e-05	2.07424164e-05	0	0	0	0
13	5.38825989e-05	4.8160553e-05	2.28881836e-05	0	0	0	0
14	5.48362732e-05	5.00679016e-05	2.21729279e-05	0	0	0	0
15	5.81741333e-05	5.10215759e-05	1.97887421e-05	0	0	0	0
16	5.29289246e-05	5.10215759e-05	2.0980835e-05	0	0	0	0
17	5.38825989e-05	5.10215759e-05	2.21729279e-05	0	0	0	0
18	5.57899475e-05	4.9829483e-05	2.33650208e-05	0	0	0	0
19	6.10351562e-05	4.9829483e-05	2.21729279e-05	0	0	0	0
20	5.8889389e-05	4.8160553e-05	2.38418579e-05	0	0	0	0
21	5.69820404e-05	5.03063202e-05	2.07424164e-05	0	0	0	0
22	5.50746918e-05	4.91142273e-05	2.28881836e-05	0	0	0	0
23	5.50746918e-05	4.9829483e-05	2.12192535e-05	0	0	0	0
24	5.60283661e-05	5.00679016e-05	2.07424164e-05	0	0	0	0
25	5.76972961e-05	4.8160553e-05	2.31266022e-05	0	0	0	0
26	5.79357147e-05	4.9829483e-05	2.33650208e-05	0	0	0	0
27	6.00814819e-05	5.00679016e-05	2.07424164e-05	0	0	0	0
28	5.60283661e-05	5.10215759e-05	2.19345093e-05	0	0	0	0
29	5.38825989e-05	5.07831573e-05	2.14576721e-05	0	0	0	0
30	5.86509705e-05	5.19752502e-05	2.02655792e-05	0	0	0	0
31	5.41210175e-05	4.9829483e-05	2.21729279e-05	0	0	0	0
32	5.62667847e-05	4.79221344e-05	2.28881836e-05	0	0	0	0
33	5.69820404e-05	5.07831573e-05	2.21729279e-05	0	0	0	0
34	5.69820404e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
35	5.79357147e-05	4.9829483e-05	2.02655792e-05	0	0	0	0
36	5.7220459e-05	4.88758087e-05	2.28881836e-05	0	0	0	0
37	5.62667847e-05	5.07831573e-05	2.0980835e-05	0	0	0	0
38	5.79357147e-05	4.9829483e-05	2.21729279e-05	0	0	0	0
39	5.8889389e-05	5.00679016e-05	2.19345093e-05	0	0	0	0
40	5.62667847e-05	5.00679016e-05	2.28881836e-05	0	0	0	0
41	5.57899475e-05	4.76837158e-05	2.24113464e-05	0	0	0	0
42	6.00814819e-05	4.88758087e-05	2.31266022e-05	0	0	0	0
43	5.50746918e-05	5.00679016e-05	2.07424164e-05	0	0	0	0
44	6.10351562e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
45	5.67436218e-05	4.93526459e-05	2.28881836e-05	0	0	0	0
46	5.31673431e-05	5.10215759e-05	2.19345093e-05	0	0	0	0
47	5.60283661e-05	4.88758087e-05	2.28881836e-05	0	0	0	0
48	6.00814819e-05	4.86373901e-05	2.24113464e-05	0	0	0	0
49	5.29289246e-05	4.93526459e-05	2.2649765e-05	0	0	0	0
50	5.38825989e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
51	6.00814819e-05	5.10215759e-05	2.00271606e-05	0	0	0	0
52	5.69820404e-05	4.79221344e-05	2.21729279e-05	0	0	0	0
53	5.38825989e-05	4.8160553e-05	2.28881836e-05	0	0	0	0
54	5.38825989e-05	4.8160553e-05	2.28881836e-05	0	0	0	0
55	5.67436218e-05	5.10215759e-05	2.02655792e-05	0	0	0	0
56	5.57899475e-05	4.88758087e-05	2.24113464e-05	0	0	0	0
57	5.53131104e-05	4.9829483e-05	2.19345093e-05	0	0	0	0
58	5.57899475e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
59	5.76972961e-05	4.9829483e-05	2.24113464e-05	0	0	0	0
60	5.79357147e-05	5.00679016e-05	2.00271606e-05	0	0	0	0
61	5.91278076e-05	4.76837158e-05	2.31266022e-05	0	0	0	0
62	5.29289246e-05	5.00679016e-05	2.19345093e-05	0	0	0	0
63	5.69820404e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
64	5.91278076e-05	5.00679016e-05	2.07424164e-05	0	0	0	0
65	5.76972961e-05	4.8160553e-05	2.21729279e-05	0	0	0	0
66	5.57899475e-05	4.93526459e-05	2.28881836e-05	0	0	0	0
67	5.86509705e-05	4.8160553e-05	2.21729279e-05	0	0	0	0
68	5.79357147e-05	4.91142273e-05	2.0980835e-05	0	0	0	0
69	5.76972961e-05	4.91142273e-05	2.21729279e-05	0	0	0	0
70	5.50746918e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
71	5.7220459e-05	4.88758087e-05	2.19345093e-05	0	0	0	0
72	5.48362732e-05	5.00679016e-05	2.19345093e-05	0	0	0	0
73	5.76972961e-05	4.9829483e-05	2.24113464e-05	0	0	0	0
74	5.60283661e-05	5.03063202e-05	2.07424164e-05	0	0	0	0
75	5.50746918e-05	4.88758087e-05	2.0980835e-05	0	0	0	0
76	5.91278076e-05	5.10215759e-05	2.0980835e-05	0	0	0	0
77	5.91278076e-05	5.10215759e-05	2.07424164e-05	0	0	0	0
78	5.76972961e-05	4.8160553e-05	2.31266022e-05	0	0	0	0
79	5.48362732e-05	5.00679016e-05	2.12192535e-05	0	0	0	0
80	5.81741333e-05	4.9829483e-05	2.0980835e-05	0	0	0	0
81	5.38825989e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
82	5.67436218e-05	4.88758087e-05	2.33650208e-05	0	0	0	0
83	5.48362732e-05	5.00679016e-05	2.12192535e-05	0	0	0	0
84	5.69820404e-05	4.79221344e-05	2.31266022e-05	0	0	0	0
85	5.81741333e-05	4.88758087e-05	2.19345093e-05	0	0	0	0
86	5.31673431e-05	5.00679016e-05	2.16960907e-05	0	0	0	0
87	5.38825989e-05	5.10215759e-05	2.12192535e-05	0	0	0	0
88	5.60283661e-05	4.91142273e-05	2.07424164e-05	0	0	0	0
89	5.57899475e-05	4.88758087e-05	2.14576721e-05	0	0	0	0
90	5.50746918e-05	5.10215759e-05	1.97887421e-05	0	0	0	0
91	5.57899475e-05	5.00679016e-05	2.21729279e-05	0	0	0	0
92	5.79357147e-05	5.00679016e-05	2.19345093e-05	0	0	0	0
93	5.91278076e-05	5.00679016e-05	2.0980835e-05	0	0	0	0
94	5.38825989e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
95	5.7220459e-05	4.69684601e-05	2.28881836e-05	0	0	0	0
96	5.50746918e-05	5.12599945e-05	2.07424164e-05	0	0	0	0
97	5.48362732e-05	5.00679016e-05	2.19345093e-05	0	0	0	0
98	5.57899475e-05	4.79221344e-05	2.24113464e-05	0	0	0	0
99	5.38825989e-05	5.03063202e-05	2.07424164e-05	0	0	0	0
100	5.62667847e-05	4.79221344e-05	2.19345093e-05	0	0	0	0
101	5.91278076e-05	4.88758087e-05	2.0980835e-05	0	0	0	0
102	5.62667847e-05	5.10215759e-05	2.07424164e-05	0	0	0	0
103	5.81741333e-05	4.88758087e-05	2.19345093e-05	0	0	0	0
104	5.81741333e-05	4.9829483e-05	2.19345093e-05	0	0	0	0
105	5.69820404e-05	5.07831573e-05	2.12192535e-05	0	0	0	0
106	5.7220459e-05	4.88758087e-05	2.0980835e-05	0	0	0	0
107	5.41210175e-05	4.8160553e-05	2.2649765e-05	0	0	0	0
108	6.00814819e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
109	5.57899475e-05	4.9829483e-05	2.21729279e-05	0	0	0	0
110	5.38825989e-05	5.10215759e-05	2.12192535e-05	0	0	0	0
111	5.41210175e-05	4.91142273e-05	2.16960907e-05	0	0	0	0
112	5.60283661e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
113	5.8889389e-05	5.00679016e-05	2.00271606e-05	0	0	0	0
114	5.48362732e-05	4.88758087e-05	2.33650208e-05	0	0	0	0
115	6.00814819e-05	4.91142273e-05	2.16960907e-05	0	0	0	0
116	5.79357147e-05	5.19752502e-05	2.12192535e-05	0	0	0	0
117	5.60283661e-05	4.79221344e-05	2.40802765e-05	0	0	0	0
118	5.38825989e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
119	5.62667847e-05	4.9829483e-05	2.19345093e-05	0	0	0	0
120	5.91278076e-05	4.91142273e-05	2.16960907e-05	0	0	0	0
121	5.60283661e-05	4.91142273e-05	2.28881836e-05	0	0	0	0
122	5.50746918e-05	4.88758087e-05	2.0980835e-05	0	0	0	0
123	5.81741333e-05	4.88758087e-05	2.19345093e-05	0	0	0	0
124	5.62667847e-05	4.79221344e-05	2.16960907e-05	0	0	0	0
125	5.69820404e-05	4.88758087e-05	2.0980835e-05	0	0	0	0
126	5.60283661e-05	5.00679016e-05	2.19345093e-05	0	0	0	0
127	5.76972961e-05	4.91142273e-05	2.21729279e-05	0	0	0	0
128	5.48362732e-05	4.93526459e-05	2.28881836e-05	0	0	0	0
129	5.67436218e-05	4.88758087e-05	2.24113464e-05	0	0	0	0
130	6.10351562e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
131	5.81741333e-05	4.88758087e-05	2.0980835e-05	0	0	0	0
132	5.67436218e-05	5.10215759e-05	2.00271606e-05	0	0	0	0
133	5.48362732e-05	4.9829483e-05	2.14576721e-05	0	0	0	0
134	5.41210175e-05	4.91142273e-05	2.16960907e-05	0	0	0	0
135	5.69820404e-05	4.8160553e-05	2.28881836e-05	0	0	0	0
136	5.67436218e-05	5.00679016e-05	2.21729279e-05	0	0	0	0
137	5.69820404e-05	5.00679016e-05	2.0980835e-05	0	0	0	0
138	5.69820404e-05	4.9829483e-05	2.12192535e-05	0	0	0	0
139	5.98430634e-05	5.00679016e-05	2.0980835e-05	0	0	0	0
140	5.38825989e-05	4.69684601e-05	2.31266022e-05	0	0	0	0
141	5.41210175e-05	4.79221344e-05	2.28881836e-05	0	0	0	0
142	5.57899475e-05	4.91142273e-05	2.31266022e-05	0	0	0	0
143	5.86509705e-05	4.91142273e-05	2.21729279e-05	0	0	0	0
144	5.60283661e-05	5.10215759e-05	2.0980835e-05	0	0	0	0
145	5.69820404e-05	5.00679016e-05	2.0980835e-05	0	0	0	0
146	5.60283661e-05	4.9829483e-05	2.12192535e-05	0	0	0	0
147	5.50746918e-05	4.8160553e-05	2.2649765e-05	0	0	0	0
148	5.50746918e-05	4.9829483e-05	2.12192535e-05	0	0	0	0
149	5.38825989e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
150	5.57899475e-05	5.00679016e-05	2.31266022e-05	0	0	0	0
151	5.76972961e-05	4.91142273e-05	2.21729279e-05	0	0	0	0
152	5.48362732e-05	4.88758087e-05	2.14576721e-05	0	0	0	0
153	5.48362732e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
154	5.50746918e-05	4.9829483e-05	2.12192535e-05	0	0	0	0
155	5.7220459e-05	4.88758087e-05	2.19345093e-05	0	0	0	0
156	5.81741333e-05	5.07831573e-05	2.19345093e-05	0	0	0	0
157	5.69820404e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
158	5.81741333e-05	5.07831573e-05	2.00271606e-05	0	0	0	0
159	5.81741333e-05	5.00679016e-05	2.07424164e-05	0	0	0	0
160	5.98430634e-05	4.76837158e-05	2.33650208e-05	0	0	0	0
161	5.38825989e-05	5.03063202e-05	2.19345093e-05	0	0	0	0
162	5.7220459e-05	5.10215759e-05	2.07424164e-05	0	0	0	0
163	5.29289246e-05	5.00679016e-05	2.19345093e-05	0	0	0	0
164	5.60283661e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
165	5.60283661e-05	4.88758087e-05	2.21729279e-05	0	0	0	0
166	5.81741333e-05	4.79221344e-05	2.28881836e-05	0	0	0	0
167	5.48362732e-05	5.12599945e-05	1.97887421e-05	0	0	0	0
168	5.41210175e-05	4.79221344e-05	2.31266022e-05	0	0	0	0
169	5.48362732e-05	5.00679016e-05	2.19345093e-05	0	0	0	0
170	5.29289246e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
171	5.48362732e-05	4.88758087e-05	2.14576721e-05	0	0	0	0
172	5.7220459e-05	4.88758087e-05	2.19345093e-05	0	0	0	0
173	5.91278076e-05	4.88758087e-05	2.0980835e-05	0	0	0	0
174	5.50746918e-05	5.00679016e-05	2.16960907e-05	0	0	0	0
175	5.69820404e-05	4.93526459e-05	2.16960907e-05	0	0	0	0
176	5.81741333e-05	5.07831573e-05	2.21729279e-05	0	0	0	0
177	5.91278076e-05	5.07831573e-05	2.00271606e-05	0	0	0	0
178	5.41210175e-05	4.9829483e-05	2.19345093e-05	0	0	0	0
179	5.91278076e-05	5.10215759e-05	2.00271606e-05	0	0	0	0
180	5.81741333e-05	4.9829483e-05	2.0980835e-05	0	0	0	0
181	5.81741333e-05	4.88758087e-05	2.19345093e-05	0	0	0	0
182	5.62667847e-05	5.00679016e-05	2.07424164e-05	0	0	0	0
183	5.41210175e-05	4.86373901e-05	2.12192535e-05	0	0	0	0
184	5.50746918e-05	4.9829483e-05	2.0980835e-05	0	0	0	0
185	5.50746918e-05	4.9829483e-05	2.21729279e-05	0	0	0	0
186	5.41210175e-05	4.88758087e-05	2.19345093e-05	0	0	0	0
187	5.79357147e-05	5.00679016e-05	2.0980835e-05	0	0	0	0
188	5.50746918e-05	5.00679016e-05	2.0980835e-05	0	0	0	0
189	5.29289246e-05	4.79221344e-05	2.31266022e-05	0	0	0	0
190	5.60283661e-05	5.12599945e-05	2.07424164e-05	0	0	0	0
191	5.57899475e-05	4.91142273e-05	2.0980835e-05	0	0	0	0
192	5.57899475e-05	4.79221344e-05	2.33650208e-05	0	0	0	0
193	5.41210175e-05	4.88758087e-05	2.31266022e-05	0	0	0	0
194	5.60283661e-05	4.8160553e-05	2.16960907e-05	0	0	0	0
195	5.41210175e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
196	5.38825989e-05	4.9829483e-05	2.21729279e-05	0	0	0	0
197	5.8889389e-05	5.00679016e-05	2.0980835e-05	0	0	0	0
198	5.50746918e-05	4.88758087e-05	2.31266022e-05	0	0	0	0
199	5.79357147e-05	4.91142273e-05	2.19345093e-05	0	0	0	0
