iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000309944153	0.000593185425	0.000326871872	0	0	0	0
1	0.000286102295	7.79628754e-05	4.19616699e-05	0	0	0	0
2	0.000270843506	7.82012939e-05	3.98159027e-05	0	0	0	0
3	0.00027513504	7.89165497e-05	4.10079956e-05	0	0	0	0
4	0.00026512146	7.79628754e-05	4.10079956e-05	0	0	0	0
5	0.000263929367	7.60555267e-05	4.10079956e-05	0	0	0	0
6	0.000277996063	7.9870224e-05	4.10079956e-05	0	0	0	0
7	0.00028014183	7.82012939e-05	3.98159027e-05	0	0	0	0
8	0.000308990479	7.89165497e-05	4.00543213e-05	0	0	0	0
9	0.000272989273	7.7009201e-05	4.00543213e-05	0	0	0	0
10	0.000282049179	7.67707825e-05	4.12464142e-05	0	0	0	0
11	0.000267982483	7.58171082e-05	4.12464142e-05	0	0	0	0
12	0.000262737274	7.91549683e-05	4.00543213e-05	0	0	0	0
13	0.000263690948	7.82012939e-05	5.19752502e-05	0	0	0	0
14	0.000266075134	7.72476196e-05	4.0769577e-05	0	0	0	0
15	0.00026512146	7.67707825e-05	4.10079956e-05	0	0	0	0
16	0.000274896622	7.82012939e-05	4.00543213e-05	0	0	0	0
17	0.000263690948	7.72476196e-05	4.10079956e-05	0	0	0	0
18	0.00026679039	7.82012939e-05	4.00543213e-05	0	0	0	0
19	0.000266075134	7.77244568e-05	4.12464142e-05	0	0	0	0
20	0.000262737274	7.82012939e-05	4.10079956e-05	0	0	0	0
21	0.000272750854	8.01086426e-05	4.22000885e-05	0	0	0	0
22	0.000262737274	7.91549683e-05	4.00543213e-05	0	0	0	0
23	0.000264167786	7.67707825e-05	4.10079956e-05	0	0	0	0
24	0.000272035599	7.72476196e-05	4.0769577e-05	0	0	0	0
25	0.00026512146	7.58171082e-05	4.31537628e-05	0	0	0	0
26	0.000264883041	7.77244568e-05	4.24385071e-05	0	0	0	0
27	0.000262022018	7.67707825e-05	4.22000885e-05	0	0	0	0
28	0.000261068344	7.7009201e-05	4.19616699e-05	0	0	0	0
29	0.000272750854	7.7009201e-05	4.50611115e-05	0	0	0	0
30	0.000264167786	7.79628754e-05	4.10079956e-05	0	0	0	0
31	0.000263929367	7.60555267e-05	4.10079956e-05	0	0	0	0
32	0.0002617836	7.72476196e-05	4.19616699e-05	0	0	0	0
33	0.000264167786	7.79628754e-05	4.19616699e-05	0	0	0	0
34	0.000274658203	7.82012939e-05	4.00543213e-05	0	0	0	0
35	0.000264167786	7.58171082e-05	4.00543213e-05	0	0	0	0
36	0.000264167786	7.7009201e-05	4.29153442e-05	0	0	0	0
37	0.000267982483	7.7009201e-05	4.10079956e-05	0	0	0	0
38	0.000272750854	7.62939453e-05	4.10079956e-05	0	0	0	0
39	0.000273942947	7.77244568e-05	4.12464142e-05	0	0	0	0
40	0.000263929367	7.72476196e-05	4.10079956e-05	0	0	0	0
41	0.000262975693	7.60555267e-05	4.10079956e-05	0	0	0	0
42	0.00027179718	7.72476196e-05	4.19616699e-05	0	0	0	0
43	0.000262260437	7.77244568e-05	3.98159027e-05	0	0	0	0
44	0.000268220901	7.7009201e-05	4.0769577e-05	0	0	0	0
45	0.000264883041	7.51018524e-05	0.000108003616	0	0	0	0
46	0.00020980835	6.91413879e-05	4.10079956e-05	0	0	0	0
47	0.000207901001	7.00950623e-05	3.69548798e-05	0	0	0	0
48	0.000204801559	7.00950623e-05	3.71932983e-05	0	0	0	0
49	0.000204086304	6.98566437e-05	3.69548798e-05	0	0	0	0
50	0.00020813942	6.89029694e-05	3.79085541e-05	0	0	0	0
51	0.000203847885	6.81877136e-05	3.81469727e-05	0	0	0	0
52	0.000202894211	7.00950623e-05	3.79085541e-05	0	0	0	0
53	0.000222921371	6.91413879e-05	3.79085541e-05	0	0	0	0
54	0.00022315979	6.89029694e-05	3.69548798e-05	0	0	0	0
55	0.000215768814	7.00950623e-05	3.71932983e-05	0	0	0	0
56	0.000213861465	6.7949295e-05	3.81469727e-05	0	0	0	0
57	0.000215053558	6.89029694e-05	3.9100647e-05	0	0	0	0
58	0.000205039978	6.93798065e-05	3.76701355e-05	0	0	0	0
59	0.000202894211	6.91413879e-05	3.69548798e-05	0	0	0	0
60	0.000205039978	7.00950623e-05	3.69548798e-05	0	0	0	0
61	0.000206232071	6.86645508e-05	3.69548798e-05	0	0	0	0
62	0.000203847885	6.7949295e-05	3.81469727e-05	0	0	0	0
63	0.000202894211	6.89029694e-05	3.71932983e-05	0	0	0	0
64	0.000201940536	6.89029694e-05	3.81469727e-05	0	0	0	0
65	0.000204086304	6.91413879e-05	3.67164612e-05	0	0	0	0
66	0.000205993652	6.7949295e-05	3.69548798e-05	0	0	0	0
67	0.000205993652	6.7949295e-05	3.71932983e-05	0	0	0	0
68	0.000202178955	6.91413879e-05	3.67164612e-05	0	0	0	0
69	0.000205039978	7.00950623e-05	3.67164612e-05	0	0	0	0
70	0.000202894211	6.89029694e-05	3.71932983e-05	0	0	0	0
71	0.000206232071	6.84261322e-05	3.71932983e-05	0	0	0	0
72	0.000203132629	6.77108765e-05	3.81469727e-05	0	0	0	0
73	0.000206947327	6.89029694e-05	3.9100647e-05	0	0	0	0
74	0.000202178955	6.89029694e-05	3.81469727e-05	0	0	0	0
75	0.000202894211	6.89029694e-05	3.71932983e-05	0	0	0	0
76	0.000206947327	6.86645508e-05	3.71932983e-05	0	0	0	0
77	0.000203847885	6.89029694e-05	3.6239624e-05	0	0	0	0
78	0.000202178955	6.74724579e-05	3.81469727e-05	0	0	0	0
79	0.000205039978	6.91413879e-05	3.69548798e-05	0	0	0	0
80	0.000205039978	6.7949295e-05	3.69548798e-05	0	0	0	0
81	0.000205993652	6.89029694e-05	3.69548798e-05	0	0	0	0
82	0.000204801559	7.00950623e-05	3.81469727e-05	0	0	0	0
83	0.000205039978	6.7949295e-05	3.79085541e-05	0	0	0	0
84	0.000206947327	6.91413879e-05	3.69548798e-05	0	0	0	0
85	0.000203847885	7.00950623e-05	3.71932983e-05	0	0	0	0
86	0.000205039978	6.7949295e-05	3.88622284e-05	0	0	0	0
87	0.000202894211	6.89029694e-05	3.71932983e-05	0	0	0	0
88	0.000203132629	6.89029694e-05	3.81469727e-05	0	0	0	0
89	0.000204086304	6.7949295e-05	3.79085541e-05	0	0	0	0
90	0.000205039978	6.7949295e-05	3.69548798e-05	0	0	0	0
91	0.000204801559	6.81877136e-05	3.71932983e-05	0	0	0	0
92	0.000203132629	6.89029694e-05	3.79085541e-05	0	0	0	0
93	0.000205039978	6.89029694e-05	3.69548798e-05	0	0	0	0
94	0.000205993652	6.7949295e-05	4.00543213e-05	0	0	0	0
95	0.000205993652	6.98566437e-05	3.71932983e-05	0	0	0	0
96	0.000202894211	6.81877136e-05	3.69548798e-05	0	0	0	0
97	0.000204801559	6.72340393e-05	3.81469727e-05	0	0	0	0
98	0.000203847885	6.91413879e-05	3.69548798e-05	0	0	0	0
99	0.000203132629	7.0810318e-05	3.69548798e-05	0	0	0	0
100	0.000205039978	6.98566437e-05	3.71932983e-05	0	0	0	0
101	0.000204324722	6.7949295e-05	3.76701355e-05	0	0	0	0
102	0.000205039978	6.89029694e-05	3.71932983e-05	0	0	0	0
103	0.000205993652	6.91413879e-05	3.79085541e-05	0	0	0	0
104	0.000217914581	6.89029694e-05	3.71932983e-05	0	0	0	0
105	0.000210046768	6.98566437e-05	3.69548798e-05	0	0	0	0
106	0.000221967697	6.89029694e-05	3.81469727e-05	0	0	0	0
107	0.000211000443	7.00950623e-05	3.79085541e-05	0	0	0	0
108	0.000241994858	7.41481781e-05	3.98159027e-05	0	0	0	0
109	0.000209331512	6.81877136e-05	4.05311584e-05	0	0	0	0
110	0.000203847885	7.00950623e-05	3.71932983e-05	0	0	0	0
111	0.000204086304	6.69956207e-05	3.88622284e-05	0	0	0	0
112	0.000201940536	7.00950623e-05	3.69548798e-05	0	0	0	0
113	0.000203847885	6.7949295e-05	3.81469727e-05	0	0	0	0
114	0.000204801559	6.91413879e-05	3.71932983e-05	0	0	0	0
115	0.000224113464	6.89029694e-05	3.69548798e-05	0	0	0	0
116	0.000214099884	6.91413879e-05	3.67164612e-05	0	0	0	0
117	0.000217914581	6.7949295e-05	3.81469727e-05	0	0	0	0
118	0.000216960907	7.00950623e-05	3.69548798e-05	0	0	0	0
119	0.000216007233	6.89029694e-05	3.9100647e-05	0	0	0	0
120	0.000213861465	6.7949295e-05	3.81469727e-05	0	0	0	0
121	0.000215053558	6.81877136e-05	3.79085541e-05	0	0	0	0
122	0.000220060349	6.7949295e-05	3.69548798e-05	0	0	0	0
123	0.000203132629	6.89029694e-05	3.79085541e-05	0	0	0	0
124	0.000203847885	6.91413879e-05	3.71932983e-05	0	0	0	0
125	0.000203132629	6.7949295e-05	3.79085541e-05	0	0	0	0
126	0.000205278397	6.7949295e-05	3.67164612e-05	0	0	0	0
127	0.000202894211	6.89029694e-05	3.81469727e-05	0	0	0	0
128	0.000204086304	6.69956207e-05	3.9100647e-05	0	0	0	0
129	0.000205278397	6.86645508e-05	3.69548798e-05	0	0	0	0
130	0.000206947327	6.98566437e-05	3.81469727e-05	0	0	0	0
131	0.000205755234	6.81877136e-05	3.81469727e-05	0	0	0	0
132	0.000204086304	6.7949295e-05	3.88622284e-05	0	0	0	0
133	0.00021481514	7.20024109e-05	3.71932983e-05	0	0	0	0
134	0.000213861465	6.89029694e-05	3.71932983e-05	0	0	0	0
135	0.000221252441	6.86645508e-05	3.79085541e-05	0	0	0	0
136	0.000220060349	7.00950623e-05	3.69548798e-05	0	0	0	0
137	0.000215053558	6.89029694e-05	3.79085541e-05	0	0	0	0
138	0.000213861465	7.20024109e-05	3.71932983e-05	0	0	0	0
139	0.000222921371	7.0810318e-05	3.71932983e-05	0	0	0	0
140	0.000217914581	7.00950623e-05	3.81469727e-05	0	0	0	0
141	0.00020980835	7.20024109e-05	3.9100647e-05	0	0	0	0
142	0.000218153	6.98566437e-05	3.69548798e-05	0	0	0	0
143	0.000213861465	7.00950623e-05	3.81469727e-05	0	0	0	0
144	0.000208854675	7.29560852e-05	3.71932983e-05	0	0	0	0
145	0.000208854675	6.91413879e-05	3.60012054e-05	0	0	0	0
146	0.000212192535	6.89029694e-05	3.69548798e-05	0	0	0	0
147	0.000205039978	7.00950623e-05	3.69548798e-05	0	0	0	0
148	0.000205993652	6.98566437e-05	3.69548798e-05	0	0	0	0
149	0.000206947327	6.81877136e-05	3.79085541e-05	0	0	0	0
150	0.000204801559	6.81877136e-05	3.81469727e-05	0	0	0	0
151	0.000204086304	7.0810318e-05	3.69548798e-05	0	0	0	0
152	0.000206947327	6.91413879e-05	3.69548798e-05	0	0	0	0
153	0.000201940536	6.7949295e-05	3.81469727e-05	0	0	0	0
154	0.000211715698	6.91413879e-05	3.71932983e-05	0	0	0	0
155	0.000304222107	7.41481781e-05	3.76701355e-05	0	0	0	0
156	0.000215053558	6.91413879e-05	3.88622284e-05	0	0	0	0
157	0.000211000443	6.89029694e-05	3.69548798e-05	0	0	0	0
158	0.000213861465	6.89029694e-05	3.71932983e-05	0	0	0	0
159	0.000207185745	6.89029694e-05	3.79085541e-05	0	0	0	0
160	0.000205755234	6.81877136e-05	3.71932983e-05	0	0	0	0
161	0.000203132629	6.89029694e-05	3.79085541e-05	0	0	0	0
162	0.000203847885	6.91413879e-05	3.9100647e-05	0	0	0	0
163	0.000204086304	6.89029694e-05	3.69548798e-05	0	0	0	0
164	0.000205993652	6.91413879e-05	3.69548798e-05	0	0	0	0
165	0.000204086304	6.98566437e-05	3.69548798e-05	0	0	0	0
166	0.000201940536	6.91413879e-05	3.79085541e-05	0	0	0	0
167	0.000205039978	6.89029694e-05	3.69548798e-05	0	0	0	0
168	0.000202894211	6.91413879e-05	3.71932983e-05	0	0	0	0
169	0.000206947327	6.98566437e-05	3.71932983e-05	0	0	0	0
170	0.000203132629	6.77108765e-05	3.71932983e-05	0	0	0	0
171	0.000203132629	7.0810318e-05	3.69548798e-05	0	0	0	0
172	0.000204086304	6.7949295e-05	3.69548798e-05	0	0	0	0
173	0.000204086304	6.89029694e-05	3.69548798e-05	0	0	0	0
174	0.000205039978	6.81877136e-05	3.69548798e-05	0	0	0	0
175	0.000204086304	6.98566437e-05	3.69548798e-05	0	0	0	0
176	0.000201702118	6.81877136e-05	3.71932983e-05	0	0	0	0
177	0.000205278397	6.91413879e-05	3.4570694e-05	0	0	0	0
178	0.000202178955	6.7949295e-05	3.79085541e-05	0	0	0	0
179	0.000203847885	6.89029694e-05	3.81469727e-05	0	0	0	0
180	0.000205039978	6.7949295e-05	3.71932983e-05	0	0	0	0
181	0.000203847885	6.7949295e-05	3.71932983e-05	0	0	0	0
182	0.000203132629	6.81877136e-05	3.67164612e-05	0	0	0	0
183	0.000204086304	6.89029694e-05	3.60012054e-05	0	0	0	0
184	0.000204086304	6.7949295e-05	3.88622284e-05	0	0	0	0
185	0.000203847885	6.91413879e-05	3.71932983e-05	0	0	0	0
186	0.000203132629	6.77108765e-05	3.71932983e-05	0	0	0	0
187	0.000206947327	6.86645508e-05	3.71932983e-05	0	0	0	0
188	0.000205039978	6.91413879e-05	3.79085541e-05	0	0	0	0
189	0.000204086304	7.00950623e-05	3.67164612e-05	0	0	0	0
190	0.000203847885	6.7949295e-05	3.71932983e-05	0	0	0	0
191	0.000202894211	7.00950623e-05	3.71932983e-05	0	0	0	0
192	0.000205039978	6.7949295e-05	3.69548798e-05	0	0	0	0
193	0.000209093094	6.77108765e-05	3.81469727e-05	0	0	0	0
194	0.000204801559	6.81877136e-05	3.71932983e-05	0	0	0	0
195	0.000204086304	6.7949295e-05	3.79085541e-05	0	0	0	0
196	0.000201940536	6.81877136e-05	3.98159027e-05	0	0	0	0
197	0.000204801559	6.91413879e-05	3.71932983e-05	0	0	0	0
198	0.000203847885	6.7949295e-05	3.71932983e-05	0	0	0	0
199	0.000205039978	6.89029694e-05	3.69548798e-05	0	0	0	0
