iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.00079369545	0.000769138336	0.000133514404	0	0	0.000142812729	0
1	0.000576019287	0.000119924545	4.00543213e-05	0	0	5.69820404e-05	0
2	0.00057888031	0.000116109848	3.98159027e-05	0	0	5.91278076e-05	0
3	0.000579357147	0.000117063522	3.57627869e-05	0	0	6.19888306e-05	0
4	0.000581741333	0.000113964081	3.71932983e-05	0	0	5.79357147e-05	0
5	0.000577926636	0.000121116638	3.74317169e-05	0	0	5.86509705e-05	0
6	0.000581979752	0.000122070312	4.00543213e-05	0	0	5.8889389e-05	0
7	0.000576972961	0.000113964081	3.69548798e-05	0	0	5.79357147e-05	0
8	0.000564098358	0.000223875046	4.38690186e-05	0	0	5.50746918e-05	0
9	0.000550031662	0.000126123428	7.51018524e-05	0	0	5.48362732e-05	0
10	0.000547409058	0.000139951706	2.57492065e-05	0	0	5.29289246e-05	0
11	0.000545024872	8.51154327e-05	2.69412994e-05	0	0	5.29289246e-05	0
12	0.000545978546	8.60691071e-05	2.67028809e-05	0	0	5.31673431e-05	0
13	0.000545978546	8.58306885e-05	2.59876251e-05	0	0	5.31673431e-05	0
14	0.000546216965	0.00013589859	2.78949738e-05	0	0	5.31673431e-05	0
15	0.000546216965	0.000202655792	0.000136852264	0	0	5.00679016e-05	0
16	0.000545978546	8.63075256e-05	2.7179718e-05	0	0	5.2690506e-05	0
17	0.000549077988	8.893013e-05	2.69412994e-05	0	0	5.29289246e-05	0
18	0.000549077988	9.01222229e-05	2.90870667e-05	0	0	5.2690506e-05	0
19	0.000554084778	9.22679901e-05	2.90870667e-05	0	0	5.36441803e-05	0
20	0.000556945801	9.29832458e-05	3.31401825e-05	0	0	5.19752502e-05	0
21	0.00056886673	9.60826874e-05	3.48091125e-05	0	0	5.7220459e-05	0
22	0.000555038452	9.89437103e-05	3.9100647e-05	0	0	5.38825989e-05	0
23	0.000548839569	0.000101089478	3.83853912e-05	0	0	5.67436218e-05	0
24	0.000548839569	9.91821289e-05	3.81469727e-05	0	0	5.48362732e-05	0
25	0.00054693222	9.98973846e-05	3.6239624e-05	0	0	5.48362732e-05	0
26	0.000552892685	9.72747803e-05	3.19480896e-05	0	0	5.50746918e-05	0
27	0.000556945801	9.08374786e-05	3.09944153e-05	0	0	5.41210175e-05	0
28	0.000554084778	8.98838043e-05	3.0040741e-05	0	0	5.38825989e-05	0
29	0.000551939011	8.91685486e-05	2.81333923e-05	0	0	5.38825989e-05	0
30	0.000547885895	8.77380371e-05	2.90870667e-05	0	0	5.31673431e-05	0
31	0.000545978546	8.79764557e-05	2.7179718e-05	0	0	5.29289246e-05	0
32	0.000545024872	8.58306885e-05	2.69412994e-05	0	0	5.22136688e-05	0
33	0.000561952591	0.000205993652	8.29696655e-05	0	0	5.31673431e-05	0
34	0.000550031662	0.000180959702	2.78949738e-05	0	0	5.7220459e-05	0
35	0.000550985336	8.60691071e-05	2.69412994e-05	0	0	5.29289246e-05	0
36	0.000545024872	8.63075256e-05	2.07424164e-05	0	0	5.19752502e-05	0
37	0.000545978546	8.48770142e-05	2.00271606e-05	0	0	5.31673431e-05	0
38	0.00054359436	8.51154327e-05	2.52723694e-05	0	0	5.10215759e-05	0
39	0.00054693222	8.67843628e-05	1.97887421e-05	0	0	5.74588776e-05	0
40	0.000548124313	8.79764557e-05	2.19345093e-05	0	0	5.19752502e-05	0
41	0.000549077988	8.77380371e-05	2.28881836e-05	0	0	5.53131104e-05	0
42	0.000552892685	8.893013e-05	2.50339508e-05	0	0	5.31673431e-05	0
43	0.000551939011	8.893013e-05	2.69412994e-05	0	0	5.31673431e-05	0
44	0.000561237335	8.893013e-05	2.47955322e-05	0	0	5.29289246e-05	0
45	0.000548124313	8.67843628e-05	2.00271606e-05	0	0	5.19752502e-05	0
46	0.000545024872	8.60691071e-05	1.97887421e-05	0	0	5.22136688e-05	0
47	0.000544071198	8.72612e-05	2.0980835e-05	0	0	5.2690506e-05	0
48	0.000545024872	8.60691071e-05	1.8119812e-05	0	0	5.17368317e-05	0
