iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000163078308	0.000710964203	6.98566437e-05	0	0	0.000100135803	0
1	0.000100135803	9.75131989e-05	3.09944153e-05	0	0	3.21865082e-05	0
2	0.000108003616	0.000102996826	3.50475311e-05	0	0	3.19480896e-05	0
3	9.53674316e-05	9.96589661e-05	2.98023224e-05	0	0	3.21865082e-05	0
4	9.70363617e-05	9.39369202e-05	2.69412994e-05	0	0	3.31401825e-05	0
5	9.89437103e-05	9.67979431e-05	2.81333923e-05	0	0	3.09944153e-05	0
6	0.000108003616	0.000107049942	3.0040741e-05	0	0	3.69548798e-05	0
7	9.51290131e-05	9.60826874e-05	2.88486481e-05	0	0	3.09944153e-05	0
8	9.39369202e-05	9.48905945e-05	2.81333923e-05	0	0	3.19480896e-05	0
9	9.51290131e-05	9.89437103e-05	2.67028809e-05	0	0	3.21865082e-05	0
10	0.000112056732	0.000102996826	3.09944153e-05	0	0	3.29017639e-05	0
11	0.000104188919	0.000103712082	3.29017639e-05	0	0	3.21865082e-05	0
12	0.000105142593	0.000104904175	3.07559967e-05	0	0	3.31401825e-05	0
13	0.0001039505	0.000104188919	3.29017639e-05	0	0	3.31401825e-05	0
14	0.000102996826	9.7990036e-05	2.98023224e-05	0	0	3.21865082e-05	0
15	9.89437103e-05	9.60826874e-05	2.90870667e-05	0	0	3.09944153e-05	0
16	9.29832458e-05	9.41753387e-05	2.88486481e-05	0	0	3.19480896e-05	0
17	9.98973846e-05	0.000107049942	3.0040741e-05	0	0	3.19480896e-05	0
18	0.000102996826	9.70363617e-05	2.98023224e-05	0	0	3.21865082e-05	0
19	9.48905945e-05	9.51290131e-05	2.90870667e-05	0	0	3.09944153e-05	0
20	9.7990036e-05	9.32216644e-05	2.78949738e-05	0	0	3.29017639e-05	0
21	0.000113010406	0.000103712082	3.12328339e-05	0	0	3.19480896e-05	0
22	0.000108957291	0.000104188919	3.07559967e-05	0	0	3.31401825e-05	0
23	0.000105142593	0.000104904175	3.19480896e-05	0	0	3.19480896e-05	0
24	0.0001039505	0.000101804733	3.21865082e-05	0	0	3.50475311e-05	0
25	0.000116825104	9.7990036e-05	3.12328339e-05	0	0	3.19480896e-05	0
26	9.10758972e-05	9.60826874e-05	2.69412994e-05	0	0	3.19480896e-05	0
27	0.000102996826	9.10758972e-05	2.81333923e-05	0	0	3.09944153e-05	0
28	9.10758972e-05	9.1791153e-05	2.81333923e-05	0	0	3.09944153e-05	0
29	0.000104904175	9.87052917e-05	2.90870667e-05	0	0	3.21865082e-05	0
30	9.08374786e-05	9.29832458e-05	2.81333923e-05	0	0	3.09944153e-05	0
31	9.08374786e-05	9.20295715e-05	2.7179718e-05	0	0	3.19480896e-05	0
32	9.89437103e-05	9.89437103e-05	2.81333923e-05	0	0	3.21865082e-05	0
33	9.98973846e-05	9.7990036e-05	3.19480896e-05	0	0	3.50475311e-05	0
34	9.01222229e-05	9.20295715e-05	2.69412994e-05	0	0	3.19480896e-05	0
35	8.98838043e-05	9.29832458e-05	2.90870667e-05	0	0	3.0040741e-05	0
36	9.10758972e-05	0.000100851059	3.19480896e-05	0	0	3.12328339e-05	0
37	0.000106096268	0.000102758408	3.19480896e-05	0	0	3.31401825e-05	0
38	0.000104904175	0.0001039505	3.21865082e-05	0	0	3.29017639e-05	0
39	0.0001039505	0.00010228157	3.38554382e-05	0	0	3.19480896e-05	0
40	0.0001039505	0.000107288361	3.19480896e-05	0	0	3.29017639e-05	0
41	0.000107765198	0.000103235245	3.0040741e-05	0	0	3.40938568e-05	0
42	0.000102996826	0.000102996826	3.19480896e-05	0	0	3.31401825e-05	0
43	0.000104904175	0.000104904175	3.0040741e-05	0	0	3.19480896e-05	0
44	0.000104904175	0.000109434128	3.09944153e-05	0	0	3.38554382e-05	0
45	8.98838043e-05	9.08374786e-05	2.69412994e-05	0	0	3.21865082e-05	0
46	9.08374786e-05	9.20295715e-05	2.7179718e-05	0	0	3.09944153e-05	0
47	8.98838043e-05	9.20295715e-05	2.81333923e-05	0	0	3.19480896e-05	0
48	0.000105857849	0.000102996826	2.90870667e-05	0	0	3.40938568e-05	0
49	9.29832458e-05	9.20295715e-05	2.7179718e-05	0	0	3.09944153e-05	0
50	9.10758972e-05	9.29832458e-05	2.69412994e-05	0	0	3.0040741e-05	0
51	9.20295715e-05	8.98838043e-05	2.76565552e-05	0	0	3.24249268e-05	0
52	9.91821289e-05	0.000105857849	3.07559967e-05	0	0	3.31401825e-05	0
53	9.82284546e-05	9.89437103e-05	3.0040741e-05	0	0	3.29017639e-05	0
54	9.87052917e-05	9.91821289e-05	2.90870667e-05	0	0	3.19480896e-05	0
55	0.000101089478	9.7990036e-05	3.09944153e-05	0	0	3.19480896e-05	0
56	0.000102996826	9.91821289e-05	2.78949738e-05	0	0	3.29017639e-05	0
57	0.000100135803	9.87052917e-05	2.81333923e-05	0	0	3.60012054e-05	0
58	9.48905945e-05	9.44137573e-05	2.81333923e-05	0	0	3.1709671e-05	0
59	9.29832458e-05	9.39369202e-05	2.98023224e-05	0	0	3.12328339e-05	0
60	9.39369202e-05	9.32216644e-05	3.02791595e-05	0	0	3.26633453e-05	0
61	9.10758972e-05	9.27448273e-05	2.69412994e-05	0	0	3.0040741e-05	0
62	9.20295715e-05	9.10758972e-05	2.69412994e-05	0	0	3.19480896e-05	0
63	9.10758972e-05	9.32216644e-05	2.78949738e-05	0	0	3.19480896e-05	0
64	0.000101804733	9.44137573e-05	2.81333923e-05	0	0	3.1709671e-05	0
65	9.51290131e-05	9.39369202e-05	2.88486481e-05	0	0	3.09944153e-05	0
66	9.48905945e-05	9.51290131e-05	2.81333923e-05	0	0	3.19480896e-05	0
67	9.7990036e-05	9.41753387e-05	2.88486481e-05	0	0	3.19480896e-05	0
68	9.70363617e-05	9.41753387e-05	3.07559967e-05	0	0	3.09944153e-05	0
69	9.08374786e-05	9.10758972e-05	2.69412994e-05	0	0	3.21865082e-05	0
70	9.10758972e-05	9.20295715e-05	2.69412994e-05	0	0	3.09944153e-05	0
71	9.39369202e-05	9.41753387e-05	2.88486481e-05	0	0	3.29017639e-05	0
72	0.000100135803	9.60826874e-05	3.07559967e-05	0	0	3.31401825e-05	0
73	9.60826874e-05	9.67979431e-05	2.90870667e-05	0	0	3.19480896e-05	0
74	9.39369202e-05	9.29832458e-05	2.90870667e-05	0	0	3.19480896e-05	0
75	9.51290131e-05	9.48905945e-05	2.78949738e-05	0	0	3.09944153e-05	0
76	9.53674316e-05	9.29832458e-05	2.98023224e-05	0	0	3.19480896e-05	0
77	9.20295715e-05	9.29832458e-05	2.88486481e-05	0	0	3.09944153e-05	0
78	9.20295715e-05	9.39369202e-05	2.90870667e-05	0	0	3.19480896e-05	0
79	9.32216644e-05	9.51290131e-05	3.07559967e-05	0	0	3.09944153e-05	0
80	9.70363617e-05	9.60826874e-05	3.0040741e-05	0	0	3.19480896e-05	0
81	9.41753387e-05	9.39369202e-05	2.88486481e-05	0	0	3.09944153e-05	0
82	9.29832458e-05	9.39369202e-05	3.0040741e-05	0	0	3.09944153e-05	0
83	9.39369202e-05	9.39369202e-05	2.90870667e-05	0	0	3.19480896e-05	0
84	9.91821289e-05	9.41753387e-05	2.88486481e-05	0	0	3.09944153e-05	0
85	9.10758972e-05	9.08374786e-05	2.81333923e-05	0	0	3.07559967e-05	0
86	8.98838043e-05	9.08374786e-05	2.7179718e-05	0	0	3.19480896e-05	0
87	9.10758972e-05	9.51290131e-05	2.69412994e-05	0	0	3.19480896e-05	0
88	9.82284546e-05	9.27448273e-05	2.90870667e-05	0	0	3.19480896e-05	0
89	9.39369202e-05	9.13143158e-05	2.69412994e-05	0	0	3.19480896e-05	0
90	9.20295715e-05	9.41753387e-05	2.98023224e-05	0	0	3.0040741e-05	0
91	9.32216644e-05	9.39369202e-05	2.76565552e-05	0	0	3.09944153e-05	0
92	0.000100135803	9.70363617e-05	3.1709671e-05	0	0	3.31401825e-05	0
93	9.1791153e-05	0.000100135803	3.09944153e-05	0	0	3.09944153e-05	0
94	9.39369202e-05	9.51290131e-05	2.90870667e-05	0	0	3.19480896e-05	0
95	9.1791153e-05	9.58442688e-05	3.21865082e-05	0	0	3.09944153e-05	0
96	0.0001039505	9.70363617e-05	3.0040741e-05	0	0	3.09944153e-05	0
97	9.10758972e-05	9.41753387e-05	2.88486481e-05	0	0	3.09944153e-05	0
98	8.98838043e-05	9.10758972e-05	2.69412994e-05	0	0	3.21865082e-05	0
99	9.20295715e-05	9.51290131e-05	2.88486481e-05	0	0	3.50475311e-05	0
100	9.60826874e-05	9.51290131e-05	2.81333923e-05	0	0	3.1709671e-05	0
101	9.08374786e-05	9.29832458e-05	2.7179718e-05	0	0	3.09944153e-05	0
102	9.29832458e-05	9.27448273e-05	2.90870667e-05	0	0	3.09944153e-05	0
103	9.29832458e-05	9.70363617e-05	2.90870667e-05	0	0	3.09944153e-05	0
104	0.000100135803	9.67979431e-05	3.0040741e-05	0	0	3.19480896e-05	0
105	9.20295715e-05	9.39369202e-05	2.90870667e-05	0	0	3.09944153e-05	0
106	9.10758972e-05	9.20295715e-05	2.88486481e-05	0	0	3.09944153e-05	0
107	9.48905945e-05	9.29832458e-05	2.62260437e-05	0	0	3.09944153e-05	0
108	0.000102043152	9.39369202e-05	2.90870667e-05	0	0	3.09944153e-05	0
109	8.98838043e-05	9.08374786e-05	2.59876251e-05	0	0	3.21865082e-05	0
110	9.01222229e-05	9.20295715e-05	2.69412994e-05	0	0	3.09944153e-05	0
111	9.01222229e-05	9.01222229e-05	2.78949738e-05	0	0	3.19480896e-05	0
112	9.48905945e-05	9.7990036e-05	2.7179718e-05	0	0	3.29017639e-05	0
113	9.48905945e-05	9.48905945e-05	2.90870667e-05	0	0	3.0040741e-05	0
114	9.39369202e-05	9.29832458e-05	2.81333923e-05	0	0	3.19480896e-05	0
115	9.39369202e-05	9.6321106e-05	2.7179718e-05	0	0	3.07559967e-05	0
116	9.39369202e-05	9.48905945e-05	3.0040741e-05	0	0	3.09944153e-05	0
117	9.60826874e-05	9.39369202e-05	2.81333923e-05	0	0	3.29017639e-05	0
118	9.39369202e-05	9.41753387e-05	3.0040741e-05	0	0	3.09944153e-05	0
119	9.53674316e-05	9.46521759e-05	2.64644623e-05	0	0	3.24249268e-05	0
120	9.39369202e-05	9.39369202e-05	2.90870667e-05	0	0	3.19480896e-05	0
121	9.39369202e-05	9.48905945e-05	2.81333923e-05	0	0	3.09944153e-05	0
122	9.39369202e-05	9.51290131e-05	2.78949738e-05	0	0	3.21865082e-05	0
123	9.39369202e-05	9.51290131e-05	2.69412994e-05	0	0	3.19480896e-05	0
