iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000341176987	0.000565767288	0.00012087822	0	0	9.91821289e-05	0
1	0.000215768814	7.89165497e-05	2.21729279e-05	0	0	4.41074371e-05	0
2	0.000196933746	7.89165497e-05	2.43186951e-05	0	0	4.10079956e-05	0
3	0.000195026398	7.86781311e-05	2.40802765e-05	0	0	4.10079956e-05	0
4	0.000197887421	7.93933868e-05	2.40802765e-05	0	0	4.0769577e-05	0
5	0.000197172165	7.89165497e-05	2.19345093e-05	0	0	4.29153442e-05	0
6	0.000196933746	7.86781311e-05	2.33650208e-05	0	0	4.19616699e-05	0
7	0.000198841095	8.48770142e-05	2.43186951e-05	0	0	4.10079956e-05	0
8	0.000196933746	7.77244568e-05	2.31266022e-05	0	0	4.31537628e-05	0
9	0.000196933746	8.03470612e-05	2.16960907e-05	0	0	4.19616699e-05	0
10	0.000195026398	7.82012939e-05	2.2649765e-05	0	0	4.31537628e-05	0
11	0.000195026398	7.91549683e-05	2.16960907e-05	0	0	4.22000885e-05	0
12	0.000194072723	7.77244568e-05	2.43186951e-05	0	0	4.17232513e-05	0
13	0.000195980072	7.77244568e-05	2.24113464e-05	0	0	4.19616699e-05	0
14	0.000197172165	7.89165497e-05	2.19345093e-05	0	0	4.19616699e-05	0
15	0.000194787979	7.91549683e-05	2.31266022e-05	0	0	4.10079956e-05	0
16	0.000194072723	7.91549683e-05	2.2649765e-05	0	0	4.31537628e-05	0
17	0.000195980072	7.82012939e-05	2.28881836e-05	0	0	4.29153442e-05	0
18	0.000196933746	8.03470612e-05	2.16960907e-05	0	0	4.10079956e-05	0
19	0.000196933746	7.91549683e-05	2.28881836e-05	0	0	4.10079956e-05	0
20	0.000194072723	7.93933868e-05	2.36034393e-05	0	0	4.10079956e-05	0
21	0.000194072723	7.93933868e-05	2.36034393e-05	0	0	4.19616699e-05	0
22	0.000210046768	7.79628754e-05	2.28881836e-05	0	0	4.31537628e-05	0
23	0.00019288063	8.01086426e-05	2.19345093e-05	0	0	4.19616699e-05	0
24	0.000195980072	7.82012939e-05	2.38418579e-05	0	0	4.29153442e-05	0
25	0.000195026398	7.86781311e-05	2.33650208e-05	0	0	4.19616699e-05	0
26	0.000195026398	7.82012939e-05	2.38418579e-05	0	0	4.10079956e-05	0
27	0.000194072723	7.86781311e-05	2.28881836e-05	0	0	4.22000885e-05	0
28	0.000195026398	7.9870224e-05	2.24113464e-05	0	0	4.0769577e-05	0
29	0.000195980072	7.89165497e-05	2.21729279e-05	0	0	4.19616699e-05	0
30	0.000195026398	7.91549683e-05	2.38418579e-05	0	0	4.10079956e-05	0
31	0.000194072723	7.79628754e-05	2.2649765e-05	0	0	4.22000885e-05	0
32	0.000195026398	7.86781311e-05	2.24113464e-05	0	0	4.29153442e-05	0
33	0.000195980072	7.9870224e-05	2.21729279e-05	0	0	4.29153442e-05	0
34	0.000195026398	7.79628754e-05	2.38418579e-05	0	0	4.22000885e-05	0
35	0.000193834305	8.01086426e-05	2.33650208e-05	0	0	4.0769577e-05	0
36	0.000194072723	7.82012939e-05	2.2649765e-05	0	0	4.22000885e-05	0
37	0.000195980072	7.89165497e-05	2.2649765e-05	0	0	4.14848328e-05	0
38	0.000191926956	8.01086426e-05	2.40802765e-05	0	0	3.98159027e-05	0
39	0.000195980072	7.91549683e-05	2.2649765e-05	0	0	4.22000885e-05	0
40	0.000195026398	7.84397125e-05	2.36034393e-05	0	0	4.10079956e-05	0
41	0.000194072723	7.67707825e-05	2.31266022e-05	0	0	4.29153442e-05	0
42	0.000196218491	7.86781311e-05	2.21729279e-05	0	0	4.29153442e-05	0
43	0.00019288063	7.84397125e-05	2.28881836e-05	0	0	4.19616699e-05	0
44	0.000194072723	7.67707825e-05	2.31266022e-05	0	0	4.29153442e-05	0
45	0.00019288063	7.82012939e-05	2.31266022e-05	0	0	4.19616699e-05	0
46	0.000195026398	7.86781311e-05	2.28881836e-05	0	0	4.12464142e-05	0
47	0.000194072723	7.74860382e-05	2.19345093e-05	0	0	4.26769257e-05	0
48	0.000195026398	7.77244568e-05	2.19345093e-05	0	0	4.22000885e-05	0
49	0.000196218491	7.79628754e-05	2.19345093e-05	0	0	4.19616699e-05	0
50	0.000190973282	7.91549683e-05	2.28881836e-05	0	0	4.10079956e-05	0
51	0.000248908997	0.000122785568	6.60419464e-05	0	0	4.31537628e-05	0
52	0.000185251236	0.000131845474	6.98566437e-05	0	0	4.10079956e-05	0
53	0.000185966492	8.05854797e-05	1.69277191e-05	0	0	4.17232513e-05	0
54	0.000190258026	7.77244568e-05	1.71661377e-05	0	0	4.17232513e-05	0
55	0.000190258026	7.86781311e-05	1.62124634e-05	0	0	4.29153442e-05	0
56	0.000190973282	7.89165497e-05	1.8119812e-05	0	0	4.19616699e-05	0
57	0.000189065933	8.55922699e-05	1.8119812e-05	0	0	4.12464142e-05	0
58	0.000191926956	7.91549683e-05	1.90734863e-05	0	0	4.19616699e-05	0
59	0.000185966492	7.86781311e-05	1.95503235e-05	0	0	4.17232513e-05	0
60	0.000186920166	7.77244568e-05	1.71661377e-05	0	0	4.22000885e-05	0
61	0.000190973282	7.79628754e-05	1.62124634e-05	0	0	4.38690186e-05	0
62	0.00018787384	7.72476196e-05	1.78813934e-05	0	0	4.19616699e-05	0
63	0.000188350677	7.86781311e-05	1.90734863e-05	0	0	4.10079956e-05	0
64	0.000185966492	7.96318054e-05	1.71661377e-05	0	0	4.12464142e-05	0
65	0.000189781189	7.74860382e-05	1.69277191e-05	0	0	4.29153442e-05	0
66	0.000204801559	7.77244568e-05	1.78813934e-05	0	0	4.14848328e-05	0
67	0.000186920166	7.91549683e-05	1.69277191e-05	0	0	4.19616699e-05	0
68	0.0001912117	7.86781311e-05	1.59740448e-05	0	0	4.31537628e-05	0
69	0.000204086304	7.79628754e-05	1.90734863e-05	0	0	4.19616699e-05	0
70	0.000192165375	7.77244568e-05	1.71661377e-05	0	0	4.19616699e-05	0
71	0.000190973282	8.01086426e-05	1.88350677e-05	0	0	4.19616699e-05	0
72	0.000204086304	7.96318054e-05	1.83582306e-05	0	0	4.19616699e-05	0
73	0.000207185745	7.77244568e-05	1.71661377e-05	0	0	4.19616699e-05	0
74	0.000189065933	7.86781311e-05	2.02655792e-05	0	0	4.19616699e-05	0
75	0.000255823135	0.000149250031	0.000107765198	0	0	4.31537628e-05	0
76	0.000185966492	8.01086426e-05	1.69277191e-05	0	0	4.10079956e-05	0
77	0.000189781189	8.77380371e-05	1.95503235e-05	0	0	4.0769577e-05	0
78	0.000190258026	7.9870224e-05	1.78813934e-05	0	0	4.19616699e-05	0
79	0.0001912117	7.86781311e-05	1.69277191e-05	0	0	4.31537628e-05	0
80	0.000190973282	7.93933868e-05	1.69277191e-05	0	0	4.29153442e-05	0
81	0.000189781189	7.82012939e-05	1.90734863e-05	0	0	4.29153442e-05	0
82	0.000189781189	7.79628754e-05	1.78813934e-05	0	0	4.12464142e-05	0
83	0.000200986862	8.05854797e-05	1.88350677e-05	0	0	4.17232513e-05	0
84	0.000190019608	7.82012939e-05	1.88350677e-05	0	0	4.19616699e-05	0
85	0.00018787384	7.84397125e-05	1.97887421e-05	0	0	4.19616699e-05	0
86	0.000190734863	7.89165497e-05	1.71661377e-05	0	0	4.19616699e-05	0
87	0.000189304352	7.79628754e-05	1.69277191e-05	0	0	4.29153442e-05	0
88	0.000190019608	7.82012939e-05	1.78813934e-05	0	0	4.10079956e-05	0
89	0.000190734863	7.79628754e-05	1.59740448e-05	0	0	4.31537628e-05	0
90	0.000189304352	7.79628754e-05	1.69277191e-05	0	0	4.0769577e-05	0
91	0.000188827515	7.72476196e-05	1.69277191e-05	0	0	4.29153442e-05	0
92	0.000191926956	7.96318054e-05	1.95503235e-05	0	0	4.19616699e-05	0
93	0.00018787384	8.03470612e-05	1.78813934e-05	0	0	4.10079956e-05	0
94	0.000189065933	7.77244568e-05	1.93119049e-05	0	0	4.0769577e-05	0
95	0.000190019608	7.86781311e-05	1.90734863e-05	0	0	4.31537628e-05	0
96	0.000190258026	7.9870224e-05	1.69277191e-05	0	0	4.19616699e-05	0
97	0.000189065933	8.01086426e-05	1.59740448e-05	0	0	4.10079956e-05	0
98	0.000205039978	7.82012939e-05	1.97887421e-05	0	0	4.19616699e-05	0
99	0.000190019608	7.77244568e-05	1.69277191e-05	0	0	4.22000885e-05	0
100	0.000190258026	7.9870224e-05	1.78813934e-05	0	0	4.10079956e-05	0
101	0.000203132629	7.77244568e-05	1.78813934e-05	0	0	4.22000885e-05	0
102	0.000187158585	7.84397125e-05	1.69277191e-05	0	0	4.26769257e-05	0
103	0.000186920166	7.82012939e-05	2.28881836e-05	0	0	4.19616699e-05	0
104	0.00019288063	7.9870224e-05	1.71661377e-05	0	0	4.10079956e-05	0
105	0.000189065933	7.9870224e-05	2.12192535e-05	0	0	3.98159027e-05	0
106	0.000190734863	7.91549683e-05	1.8119812e-05	0	0	4.31537628e-05	0
107	0.000191926956	7.89165497e-05	1.83582306e-05	0	0	4.0769577e-05	0
108	0.000190734863	7.93933868e-05	1.69277191e-05	0	0	4.19616699e-05	0
109	0.000191926956	8.01086426e-05	1.88350677e-05	0	0	4.10079956e-05	0
110	0.000194072723	7.82012939e-05	1.69277191e-05	0	0	4.29153442e-05	0
111	0.00018787384	7.77244568e-05	1.8119812e-05	0	0	4.22000885e-05	0
112	0.000190258026	8.01086426e-05	1.69277191e-05	0	0	4.0769577e-05	0
113	0.000192165375	7.89165497e-05	1.88350677e-05	0	0	4.19616699e-05	0
114	0.000189065933	7.86781311e-05	1.8119812e-05	0	0	4.10079956e-05	0
115	0.000190258026	7.7009201e-05	1.78813934e-05	0	0	4.19616699e-05	0
116	0.000190019608	8.46385956e-05	1.59740448e-05	0	0	4.22000885e-05	0
117	0.000191926956	7.72476196e-05	1.69277191e-05	0	0	4.29153442e-05	0
118	0.000193834305	7.82012939e-05	1.88350677e-05	0	0	4.29153442e-05	0
119	0.000189304352	7.79628754e-05	1.8119812e-05	0	0	4.0769577e-05	0
120	0.00018787384	8.03470612e-05	1.69277191e-05	0	0	4.19616699e-05	0
121	0.00018787384	7.91549683e-05	1.69277191e-05	0	0	4.10079956e-05	0
122	0.00019288063	9.08374786e-05	1.8119812e-05	0	0	4.22000885e-05	0
123	0.000190734863	7.89165497e-05	1.69277191e-05	0	0	4.22000885e-05	0
124	0.000190973282	7.91549683e-05	1.69277191e-05	0	0	4.19616699e-05	0
125	0.000193119049	9.10758972e-05	1.8119812e-05	0	0	4.26769257e-05	0
126	0.000190258026	7.89165497e-05	1.78813934e-05	0	0	4.10079956e-05	0
127	0.000188827515	7.84397125e-05	1.69277191e-05	0	0	4.29153442e-05	0
128	0.000189781189	9.39369202e-05	1.93119049e-05	0	0	4.19616699e-05	0
129	0.000189065933	7.89165497e-05	1.78813934e-05	0	0	4.10079956e-05	0
130	0.000190973282	8.01086426e-05	1.8119812e-05	0	0	4.19616699e-05	0
131	0.000190019608	8.91685486e-05	1.88350677e-05	0	0	4.19616699e-05	0
