iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000554084778	0.000124931335	0.000158071518	0	0	9.53674316e-07	0
1	0.000545978546	0.000105142593	0.000104904175	0	0	0	0
2	0.000557661057	0.000103235245	0.000105142593	0	0	9.53674316e-07	0
3	0.000544786453	0.000102996826	0.000104188919	0	0	0	0
4	0.000544071198	0.000104188919	0.000104904175	0	0	0	0
5	0.000544071198	0.000102996826	0.000103712082	0	0	0	0
6	0.000548124313	0.000108003616	0.000104904175	0	0	0	0
7	0.000543117523	0.000102996826	0.000105857849	0	0	1.1920929e-06	0
8	0.000544071198	0.000102996826	0.000104904175	0	0	0	0
9	0.000544071198	0.000102996826	0.000104904175	0	0	0	0
10	0.000544071198	0.000102996826	0.000105857849	0	0	9.53674316e-07	0
11	0.000544071198	0.000102996826	0.000104904175	0	0	0	0
12	0.000544071198	0.000102758408	0.000108242035	0	0	0	0
13	0.000543832779	0.000104904175	0.000104188919	0	0	0	0
14	0.000544071198	0.000103712082	0.000106334686	0	0	0	0
15	0.000542879105	0.000102996826	0.000105142593	0	0	9.53674316e-07	0
16	0.00054192543	0.000102996826	0.000104188919	0	0	9.53674316e-07	0
17	0.000545024872	0.000103235245	0.000105857849	0	0	9.53674316e-07	0
18	0.000543117523	0.0001039505	0.000104904175	0	0	0	0
19	0.000543117523	0.000102758408	0.000106096268	0	0	0	0
20	0.000544071198	0.000102043152	0.000105857849	0	0	9.53674316e-07	0
21	0.000544071198	0.000101804733	0.0001039505	0	0	0	0
22	0.000545024872	0.000101804733	0.000107049942	0	0	9.53674316e-07	0
23	0.000545978546	0.00010228157	0.000104904175	0	0	0	0
24	0.00054693222	0.000102996826	0.0001039505	0	0	0	0
25	0.000544071198	0.0001039505	0.000104904175	0	0	0	0
26	0.000543117523	0.000103235245	0.000105857849	0	0	0	0
27	0.000544071198	0.000102043152	0.000103712082	0	0	9.53674316e-07	0
28	0.000544071198	0.000102043152	0.0001039505	0	0	2.14576721e-06	0
29	0.000544071198	0.000104188919	0.000104665756	0	0	0	0
30	0.000545024872	0.000112295151	0.000204801559	0	0	0	0
31	0.00054526329	0.000164747238	0.000280857086	0	0	0	0
32	0.000548839569	0.000102043152	0.000105142593	0	0	0	0
33	0.000544071198	0.000101804733	0.000105142593	0	0	9.53674316e-07	0
34	0.000544071198	0.000102996826	0.000104904175	0	0	0	0
35	0.000543117523	0.000102996826	0.0001039505	0	0	0	0
36	0.000545024872	0.000102043152	0.000104904175	0	0	0	0
37	0.000545024872	0.000102996826	0.000102996826	0	0	0	0
38	0.000545024872	0.000103235245	0.000104904175	0	0	9.53674316e-07	0
39	0.000543832779	0.0001039505	0.000105142593	0	0	0	0
40	0.000545024872	0.000105142593	0.0001039505	0	0	0	0
41	0.000543832779	0.0001039505	0.000105142593	0	0	0	0
42	0.000544071198	0.000102996826	0.000104904175	0	0	1.1920929e-06	0
43	0.000545024872	0.000102996826	0.000104904175	0	0	0	0
44	0.000543117523	0.0001039505	0.000104904175	0	0	0	0
45	0.000542879105	0.000102996826	0.000105142593	0	0	9.53674316e-07	0
46	0.000542879105	0.000102043152	0.000105142593	0	0	9.53674316e-07	0
47	0.000544071198	0.00010228157	0.000105857849	0	0	9.53674316e-07	0
48	0.000544071198	0.0001039505	0.000104904175	0	0	0	0
49	0.000543117523	0.000102043152	0.000105857849	0	0	0	0
50	0.000545024872	0.000103712082	0.000104188919	0	0	0	0
51	0.000544071198	0.000103235245	0.000105857849	0	0	0	0
52	0.000544071198	0.000103235245	0.000103712082	0	0	0	0
53	0.000542879105	0.000102043152	0.000108003616	0	0	9.53674316e-07	0
54	0.000543117523	0.000102043152	0.000105857849	0	0	9.53674316e-07	0
55	0.000545024872	0.000101804733	0.000106334686	0	0	9.53674316e-07	0
56	0.000542879105	0.000102996826	0.000105142593	0	0	0	0
57	0.000544071198	0.000102043152	0.000104904175	0	0	9.53674316e-07	0
58	0.000544071198	0.000102043152	0.000106096268	0	0	0	0
59	0.000543117523	0.000102043152	0.000102758408	0	0	1.90734863e-06	0
60	0.000545024872	0.000102043152	0.0001039505	0	0	1.1920929e-06	0
61	0.000542163849	0.000102758408	0.000105857849	0	0	0	0
62	0.000544071198	0.000102996826	0.0001039505	0	0	0	0
63	0.000544071198	0.000102043152	0.000104904175	0	0	0	0
64	0.000543832779	0.000102996826	0.000107049942	0	0	0	0
65	0.000545024872	0.00010228157	0.000104904175	0	0	0	0
66	0.000545024872	0.000102043152	0.000104904175	0	0	0	0
67	0.000543117523	0.000101089478	0.000105857849	0	0	9.53674316e-07	0
68	0.000545024872	0.000103235245	0.000103712082	0	0	0	0
69	0.000543117523	0.000101804733	0.000104904175	0	0	1.1920929e-06	0
70	0.000543117523	0.000102043152	0.000104904175	0	0	1.90734863e-06	0
71	0.000544071198	0.0001039505	0.0001039505	0	0	0	0
72	0.000544071198	0.000102043152	0.0001039505	0	0	0	0
73	0.000544071198	0.000102043152	0.000105857849	0	0	0	0
74	0.000542879105	0.000102996826	0.000105142593	0	0	0	0
75	0.000544071198	0.000102043152	0.000104904175	0	0	9.53674316e-07	0
76	0.000543832779	0.000102043152	0.000106096268	0	0	0	0
77	0.000543117523	0.000102996826	0.000106811523	0	0	0	0
78	0.000545024872	0.000104188919	0.0001039505	0	0	0	0
