iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000977754593	9.91821289e-05	0.000102043152	0	0	0	0
1	0.000978946686	7.39097595e-05	5.31673431e-05	0	0	9.53674316e-07	0
2	0.000978946686	7.31945038e-05	5.29289246e-05	0	0	9.53674316e-07	0
3	0.000977993011	7.82012939e-05	5.19752502e-05	0	0	9.53674316e-07	0
4	0.000975847244	7.29560852e-05	5.50746918e-05	0	0	9.53674316e-07	0
5	0.000979185104	7.29560852e-05	5.19752502e-05	0	0	0	0
6	0.000978946686	0.000106096268	5.19752502e-05	0	0	0	0
7	0.000986099243	0.000237941742	0.000373840332	0	0	0	0
8	0.000982046127	0.000137805939	0.000121116638	0	0	0	0
9	0.000980138779	7.20024109e-05	5.10215759e-05	0	0	0	0
10	0.000977754593	7.22408295e-05	5.10215759e-05	0	0	0	0
11	0.000977993011	7.20024109e-05	4.9829483e-05	0	0	0	0
12	0.00097990036	7.20024109e-05	5.00679016e-05	0	0	0	0
13	0.000977993011	7.10487366e-05	5.00679016e-05	0	0	9.53674316e-07	0
14	0.000976085663	7.29560852e-05	5.10215759e-05	0	0	0	0
15	0.000977039337	7.20024109e-05	5.19752502e-05	0	0	0	0
16	0.000979185104	7.10487366e-05	4.9829483e-05	0	0	0	0
17	0.000980138779	7.20024109e-05	4.88758087e-05	0	0	0	0
18	0.000977993011	7.20024109e-05	5.10215759e-05	0	0	0	0
19	0.000977039337	7.29560852e-05	4.9829483e-05	0	0	1.1920929e-06	0
20	0.000977993011	7.20024109e-05	4.9829483e-05	0	0	0	0
21	0.000981807709	7.31945038e-05	5.31673431e-05	0	0	0	0
22	0.00097990036	7.17639923e-05	5.00679016e-05	0	0	1.1920929e-06	0
23	0.000977993011	7.10487366e-05	5.38825989e-05	0	0	0	0
24	0.000977993011	7.20024109e-05	5.00679016e-05	0	0	0	0
25	0.000978946686	7.10487366e-05	5.10215759e-05	0	0	0	0
26	0.000976085663	7.10487366e-05	4.9829483e-05	0	0	9.53674316e-07	0
27	0.000979185104	7.20024109e-05	5.67436218e-05	0	0	0	0
28	0.000979185104	7.20024109e-05	4.9829483e-05	0	0	0	0
29	0.000977039337	7.20024109e-05	5.10215759e-05	0	0	9.53674316e-07	0
30	0.000975608826	7.17639923e-05	5.12599945e-05	0	0	1.1920929e-06	0
31	0.000977993011	7.29560852e-05	5.00679016e-05	0	0	0	0
32	0.000977993011	7.29560852e-05	5.12599945e-05	0	0	9.53674316e-07	0
33	0.000976800919	7.17639923e-05	5.00679016e-05	0	0	1.1920929e-06	0
34	0.000977993011	7.10487366e-05	5.00679016e-05	0	0	9.53674316e-07	0
35	0.000981092453	7.20024109e-05	5.10215759e-05	0	0	9.53674316e-07	0
36	0.000980854034	7.41481781e-05	5.10215759e-05	0	0	0	0
37	0.000978946686	7.20024109e-05	5.10215759e-05	0	0	9.53674316e-07	0
38	0.000977993011	7.20024109e-05	5.10215759e-05	0	0	9.53674316e-07	0
39	0.000977039337	7.20024109e-05	5.19752502e-05	0	0	9.53674316e-07	0
40	0.000977039337	7.00950623e-05	5.10215759e-05	0	0	9.53674316e-07	0
41	0.000977993011	7.10487366e-05	5.10215759e-05	0	0	9.53674316e-07	0
42	0.000977993011	7.10487366e-05	5.29289246e-05	0	0	0	0
43	0.000977993011	7.20024109e-05	5.00679016e-05	0	0	0	0
44	0.000975847244	7.20024109e-05	5.10215759e-05	0	0	9.53674316e-07	0
45	0.000977039337	7.00950623e-05	5.00679016e-05	0	0	9.53674316e-07	0
46	0.000975847244	7.29560852e-05	5.00679016e-05	0	0	0	0
47	0.000977039337	7.10487366e-05	4.91142273e-05	0	0	0	0
48	0.000977039337	7.10487366e-05	4.9829483e-05	0	0	9.53674316e-07	0
49	0.000977993011	7.10487366e-05	5.00679016e-05	0	0	9.53674316e-07	0
50	0.000977993011	7.10487366e-05	5.10215759e-05	0	0	9.53674316e-07	0
51	0.00097823143	7.10487366e-05	4.9829483e-05	0	0	9.53674316e-07	0
52	0.00097990036	7.10487366e-05	5.29289246e-05	0	0	0	0
53	0.000977993011	7.39097595e-05	5.31673431e-05	0	0	9.53674316e-07	0
