iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000100851059	0.00014424324	0.000134944916	0	0	9.53674316e-07	0
1	0.000100851059	0.000100851059	0.000100135803	0	0	2.14576721e-06	0
2	9.01222229e-05	9.10758972e-05	8.20159912e-05	0	0	9.53674316e-07	0
3	8.98838043e-05	8.893013e-05	8.41617584e-05	0	0	9.53674316e-07	0
4	8.893013e-05	9.29832458e-05	8.20159912e-05	0	0	1.1920929e-06	0
5	8.893013e-05	8.79764557e-05	8.39233398e-05	0	0	0	0
6	9.7990036e-05	9.51290131e-05	8.01086426e-05	0	0	1.90734863e-06	0
7	0.000101089478	0.000100135803	9.48905945e-05	0	0	1.90734863e-06	0
8	0.000107049942	0.000107049942	9.39369202e-05	0	0	0	0
9	8.893013e-05	8.98838043e-05	8.60691071e-05	0	0	9.53674316e-07	0
10	9.01222229e-05	8.79764557e-05	8.20159912e-05	0	0	0	0
11	8.79764557e-05	0.000100851059	8.01086426e-05	0	0	2.14576721e-06	0
12	0.0001039505	0.000102758408	0.000115156174	0	0	9.53674316e-07	0
13	9.10758972e-05	9.20295715e-05	8.60691071e-05	0	0	0	0
14	8.98838043e-05	9.10758972e-05	8.29696655e-05	0	0	0	0
15	0.000115156174	0.000102996826	9.48905945e-05	0	0	9.53674316e-07	0
16	9.39369202e-05	8.91685486e-05	9.7990036e-05	0	0	9.53674316e-07	0
17	9.10758972e-05	9.39369202e-05	8.58306885e-05	0	0	1.1920929e-06	0
18	9.20295715e-05	0.0001039505	8.39233398e-05	0	0	1.90734863e-06	0
19	0.0001039505	0.000105142593	0.000111103058	0	0	0	0
20	9.01222229e-05	9.20295715e-05	8.58306885e-05	0	0	9.53674316e-07	0
21	9.20295715e-05	9.01222229e-05	8.29696655e-05	0	0	1.90734863e-06	0
22	0.000142097473	9.7990036e-05	0.000115871429	0	0	9.53674316e-07	0
23	0.000106811523	0.000106334686	9.58442688e-05	0	0	0	0
24	0.000107049942	0.0001039505	0.000100851059	0	0	9.53674316e-07	0
25	0.000145196915	0.000123977661	0.000117063522	0	0	9.53674316e-07	0
26	0.000108003616	0.000107049942	9.58442688e-05	0	0	0	0
27	0.000105857849	0.000105857849	9.82284546e-05	0	0	1.1920929e-06	0
28	0.000188112259	0.000106096268	0.000138759613	0	0	0	0
29	9.08374786e-05	8.41617584e-05	9.20295715e-05	0	0	9.53674316e-07	0
30	9.7990036e-05	8.29696655e-05	9.10758972e-05	0	0	0	0
31	9.10758972e-05	8.32080841e-05	8.98838043e-05	0	0	0	0
32	8.79764557e-05	8.08238983e-05	9.01222229e-05	0	0	9.53674316e-07	0
33	0.000104904175	8.32080841e-05	9.01222229e-05	0	0	1.90734863e-06	0
34	8.98838043e-05	8.10623169e-05	9.20295715e-05	0	0	0	0
35	8.58306885e-05	7.41481781e-05	7.51018524e-05	0	0	9.53674316e-07	0
36	8.70227814e-05	7.48634338e-05	7.20024109e-05	0	0	0	0
37	8.39233398e-05	7.60555267e-05	7.27176666e-05	0	0	1.1920929e-06	0
38	8.51154327e-05	7.58171082e-05	7.10487366e-05	0	0	9.53674316e-07	0
39	8.91685486e-05	7.67707825e-05	7.00950623e-05	0	0	0	0
40	8.39233398e-05	7.58171082e-05	7.31945038e-05	0	0	0	0
41	8.51154327e-05	7.51018524e-05	7.20024109e-05	0	0	9.53674316e-07	0
42	8.70227814e-05	7.51018524e-05	7.17639923e-05	0	0	9.53674316e-07	0
43	8.91685486e-05	7.39097595e-05	7.10487366e-05	0	0	9.53674316e-07	0
44	8.39233398e-05	7.48634338e-05	7.31945038e-05	0	0	9.53674316e-07	0
45	8.72612e-05	7.58171082e-05	7.20024109e-05	0	0	9.53674316e-07	0
46	8.79764557e-05	7.60555267e-05	7.10487366e-05	0	0	0	0
47	8.86917114e-05	7.60555267e-05	7.12871552e-05	0	0	0	0
48	9.29832458e-05	7.89165497e-05	8.20159912e-05	0	0	2.14576721e-06	0
49	9.01222229e-05	7.89165497e-05	8.08238983e-05	0	0	0	0
50	9.08374786e-05	7.79628754e-05	8.01086426e-05	0	0	1.1920929e-06	0
51	9.20295715e-05	8.01086426e-05	7.9870224e-05	0	0	0	0
52	9.6321106e-05	7.79628754e-05	7.96318054e-05	0	0	9.53674316e-07	0
53	9.08374786e-05	7.91549683e-05	8.01086426e-05	0	0	0	0
54	9.10758972e-05	7.67707825e-05	8.10623169e-05	0	0	2.14576721e-06	0
55	9.20295715e-05	7.89165497e-05	7.9870224e-05	0	0	0	0
