iter	spmv	dot	vecops	comm	allreduce	sync	other
0	0.000199079514	0.000110864639	0.0001039505	0	0	2.14576721e-06	0
1	0.000179767609	9.29832458e-05	7.00950623e-05	0	0	0	0
2	0.000178098679	9.29832458e-05	6.7949295e-05	0	0	0	0
3	0.000176906586	9.20295715e-05	6.81877136e-05	0	0	0	0
4	0.000175952911	9.20295715e-05	6.89029694e-05	0	0	9.53674316e-07	0
5	0.000174999237	9.29832458e-05	6.81877136e-05	0	0	0	0
6	0.000174999237	9.20295715e-05	6.89029694e-05	0	0	9.53674316e-07	0
7	0.000178098679	9.20295715e-05	6.69956207e-05	0	0	0	0
8	0.000173807144	9.20295715e-05	6.81877136e-05	0	0	0	0
9	0.000173091888	9.29832458e-05	6.7949295e-05	0	0	0	0
10	0.000171899796	9.1791153e-05	6.81877136e-05	0	0	9.53674316e-07	0
11	0.000173091888	9.10758972e-05	6.69956207e-05	0	0	1.90734863e-06	0
12	0.00017285347	9.08374786e-05	6.72340393e-05	0	0	0	0
13	0.000171899796	9.20295715e-05	6.7949295e-05	0	0	0	0
14	0.000171899796	9.1791153e-05	6.72340393e-05	0	0	0	0
15	0.000171899796	9.39369202e-05	6.81877136e-05	0	0	0	0
16	0.000170946121	9.20295715e-05	6.91413879e-05	0	0	9.53674316e-07	0
17	0.000173091888	9.20295715e-05	6.7949295e-05	0	0	0	0
18	0.000178098679	9.29832458e-05	6.7949295e-05	0	0	0	0
19	0.000174045563	9.10758972e-05	6.77108765e-05	0	0	2.14576721e-06	0
20	0.000179767609	9.20295715e-05	6.91413879e-05	0	0	0	0
21	0.000172138214	9.29832458e-05	6.69956207e-05	0	0	0	0
22	0.00017285347	9.08374786e-05	6.7949295e-05	0	0	1.1920929e-06	0
23	0.000172138214	9.10758972e-05	6.7949295e-05	0	0	9.53674316e-07	0
24	0.000174999237	9.29832458e-05	6.69956207e-05	0	0	0	0
25	0.000173091888	9.20295715e-05	6.69956207e-05	0	0	0	0
26	0.000172138214	9.10758972e-05	6.77108765e-05	0	0	0	0
27	0.000172138214	9.20295715e-05	6.69956207e-05	0	0	9.53674316e-07	0
28	0.000171899796	9.1791153e-05	6.89029694e-05	0	0	1.1920929e-06	0
29	0.000174999237	9.29832458e-05	6.69956207e-05	0	0	0	0
30	0.000173091888	9.20295715e-05	6.89029694e-05	0	0	0	0
31	0.00017285347	9.20295715e-05	6.81877136e-05	0	0	0	0
32	0.000173091888	9.1791153e-05	6.89029694e-05	0	0	0	0
33	0.00017285347	9.10758972e-05	6.91413879e-05	0	0	0	0
34	0.000174045563	9.10758972e-05	6.89029694e-05	0	0	0	0
35	0.000172138214	9.20295715e-05	6.7949295e-05	0	0	0	0
36	0.000171661377	9.13143158e-05	6.7949295e-05	0	0	0	0
37	0.000173091888	9.20295715e-05	6.69956207e-05	0	0	0	0
38	0.000172138214	9.20295715e-05	6.67572021e-05	0	0	0	0
39	0.000174045563	9.20295715e-05	6.69956207e-05	0	0	0	0
40	0.000173091888	9.10758972e-05	6.89029694e-05	0	0	0	0
41	0.000171661377	9.10758972e-05	6.69956207e-05	0	0	2.14576721e-06	0
42	0.000172138214	9.10758972e-05	6.7949295e-05	0	0	9.53674316e-07	0
43	0.000170946121	9.32216644e-05	6.7949295e-05	0	0	9.53674316e-07	0
44	0.00017285347	9.08374786e-05	6.7949295e-05	0	0	1.1920929e-06	0
45	0.000172138214	9.20295715e-05	6.7949295e-05	0	0	0	0
46	0.000173807144	9.20295715e-05	6.91413879e-05	0	0	9.53674316e-07	0
47	0.000173091888	9.29832458e-05	6.69956207e-05	0	0	9.53674316e-07	0
48	0.000170707703	9.20295715e-05	6.72340393e-05	0	0	9.53674316e-07	0
49	0.000173091888	9.29832458e-05	6.69956207e-05	0	0	0	0
50	0.000172138214	9.1791153e-05	6.7949295e-05	0	0	1.1920929e-06	0
51	0.000173091888	9.20295715e-05	6.58035278e-05	0	0	9.53674316e-07	0
52	0.000172138214	9.20295715e-05	6.7949295e-05	0	0	0	0
53	0.000171899796	9.29832458e-05	6.7949295e-05	0	0	0	0
54	0.000173091888	9.1791153e-05	6.91413879e-05	0	0	9.53674316e-07	0
55	0.00017118454	9.29832458e-05	6.67572021e-05	0	0	0	0
56	0.000172138214	9.10758972e-05	6.98566437e-05	0	0	9.53674316e-07	0
57	0.000171899796	9.20295715e-05	6.69956207e-05	0	0	0	0
58	0.000173091888	9.20295715e-05	6.60419464e-05	0	0	0	0
59	0.000172138214	9.29832458e-05	6.67572021e-05	0	0	0	0
60	0.000172138214	9.20295715e-05	6.89029694e-05	0	0	9.53674316e-07	0
61	0.000170707703	9.29832458e-05	6.72340393e-05	0	0	0	0
62	0.000173091888	9.10758972e-05	6.7949295e-05	0	0	1.90734863e-06	0
63	0.000232934952	0.00012087822	0.000113248825	0	0	1.90734863e-06	0
64	0.00017118454	9.20295715e-05	0.000114917755	0	0	9.53674316e-07	0
65	0.000174045563	9.20295715e-05	6.7949295e-05	0	0	0	0
66	0.000243902206	0.000107049942	7.10487366e-05	0	0	9.53674316e-07	0
67	0.00017285347	9.10758972e-05	6.50882721e-05	0	0	1.90734863e-06	0
68	0.000174283981	9.1791153e-05	6.38961792e-05	0	0	0	0
69	0.000171899796	9.29832458e-05	6.41345978e-05	0	0	0	0
70	0.000172615051	9.29832458e-05	6.43730164e-05	0	0	0	0
71	0.00017285347	9.32216644e-05	6.41345978e-05	0	0	0	0
72	0.000172138214	9.08374786e-05	6.48498535e-05	0	0	1.1920929e-06	0
73	0.000170707703	9.20295715e-05	6.41345978e-05	0	0	0	0
74	0.000170230865	9.29832458e-05	6.48498535e-05	0	0	0	0
75	0.000170230865	9.20295715e-05	6.58035278e-05	0	0	9.53674316e-07	0
76	0.000170946121	9.27448273e-05	6.41345978e-05	0	0	0	0
77	0.00017285347	9.29832458e-05	6.31809235e-05	0	0	0	0
78	0.00017285347	9.20295715e-05	6.41345978e-05	0	0	1.1920929e-06	0
79	0.000170946121	9.22679901e-05	6.27040863e-05	0	0	9.53674316e-07	0
80	0.000170230865	9.29832458e-05	6.38961792e-05	0	0	0	0
81	0.00017285347	9.08374786e-05	6.31809235e-05	0	0	0	0
82	0.000170946121	9.32216644e-05	6.38961792e-05	0	0	0	0
83	0.000173091888	9.20295715e-05	6.38961792e-05	0	0	0	0
84	0.000174045563	9.1791153e-05	6.41345978e-05	0	0	0	0
85	0.000172138214	9.20295715e-05	6.38961792e-05	0	0	0	0
86	0.000173091888	9.29832458e-05	6.29425049e-05	0	0	0	0
87	0.000236988068	9.98973846e-05	6.41345978e-05	0	0	0	0
88	0.00017118454	9.20295715e-05	0.000110864639	0	0	0	0
89	0.00017285347	9.20295715e-05	6.50882721e-05	0	0	0	0
90	0.00017285347	9.29832458e-05	6.60419464e-05	0	0	0	0
91	0.000172138214	9.29832458e-05	6.29425049e-05	0	0	0	0
92	0.000172138214	9.20295715e-05	6.48498535e-05	0	0	0	0
93	0.000171899796	8.98838043e-05	6.41345978e-05	0	0	9.53674316e-07	0
94	0.000171661377	9.10758972e-05	6.41345978e-05	0	0	2.14576721e-06	0
95	0.000172138214	9.20295715e-05	6.38961792e-05	0	0	0	0
96	0.000254154205	0.000164031982	0.00012087822	0	0	9.53674316e-07	0
97	0.000179052353	9.10758972e-05	0.00012087822	0	0	9.53674316e-07	0
98	0.000180244446	9.1791153e-05	6.89029694e-05	0	0	0	0
99	0.000179052353	9.08374786e-05	6.81877136e-05	0	0	9.53674316e-07	0
100	0.000179290771	9.29832458e-05	6.89029694e-05	0	0	0	0
101	0.000243902206	0.000135183334	0.000193834305	0	0	0	0
102	0.000167131424	0.00014591217	0.000123977661	0	0	9.53674316e-07	0
103	0.000167131424	9.29832458e-05	6.38961792e-05	0	0	9.53674316e-07	0
104	0.000167131424	9.20295715e-05	6.19888306e-05	0	0	0	0
105	0.000168085098	9.20295715e-05	6.48498535e-05	0	0	0	0
106	0.000166893005	9.20295715e-05	6.50882721e-05	0	0	0	0
107	0.000167131424	9.08374786e-05	6.29425049e-05	0	0	1.90734863e-06	0
108	0.000164747238	9.20295715e-05	6.31809235e-05	0	0	1.1920929e-06	0
109	0.000165939331	9.20295715e-05	6.50882721e-05	0	0	0	0
110	0.00016617775	9.1791153e-05	6.38961792e-05	0	0	9.53674316e-07	0
111	0.000165939331	9.32216644e-05	6.48498535e-05	0	0	0	0
112	0.000165700912	9.22679901e-05	6.41345978e-05	0	0	0	0
113	0.00016784668	9.20295715e-05	6.50882721e-05	0	0	9.53674316e-07	0
114	0.000165939331	9.10758972e-05	6.41345978e-05	0	0	9.53674316e-07	0
115	0.000165939331	9.20295715e-05	6.50882721e-05	0	0	0	0
116	0.00016784668	9.20295715e-05	6.41345978e-05	0	0	0	0
117	0.000164985657	9.20295715e-05	6.38961792e-05	0	0	9.53674316e-07	0
118	0.000168085098	9.29832458e-05	6.38961792e-05	0	0	0	0
119	0.00016617775	9.20295715e-05	6.60419464e-05	0	0	9.53674316e-07	0
120	0.000166893005	9.29832458e-05	6.41345978e-05	0	0	0	0
121	0.000166893005	9.29832458e-05	6.41345978e-05	0	0	0	0
122	0.000165939331	9.41753387e-05	6.38961792e-05	0	0	0	0
123	0.000164985657	9.29832458e-05	6.29425049e-05	0	0	9.53674316e-07	0
124	0.000165939331	9.10758972e-05	6.41345978e-05	0	0	0	0
125	0.000167131424	9.20295715e-05	6.38961792e-05	0	0	9.53674316e-07	0
126	0.000166893005	9.20295715e-05	6.41345978e-05	0	0	9.53674316e-07	0
127	0.000168085098	9.20295715e-05	6.38961792e-05	0	0	0	0
128	0.00016784668	9.20295715e-05	6.50882721e-05	0	0	9.53674316e-07	0
129	0.000165939331	9.20295715e-05	6.50882721e-05	0	0	0	0
130	0.000166893005	9.20295715e-05	6.41345978e-05	0	0	0	0
