matrix	solver	spmv	dot	vecops	comm	allreduce	sync	loop_total	preprocess
poli4	gpu	0.006751	0.015880	0.006161	0	0	0	0.028792	0.2007
poli4	gpu-dp	0.006699	0.010238	0.004548	0	0	0	0.021485	0.1171
poli4	gpu-pipelined	0.007051	0.018660	0.009852	0	0	0	0.035563	0.1215
poli4	hybrid-async-dp	0.012041	0.010314	0.004564	0	0	0	0.026918	0.0122
poli4	hybrid-dist-dp	0.017912	0.018588	0.005392	0	0	0.006164	0.048056	0.0125
poli4	hybrid-dist-pipelined	0.015982	0.015146	0.013575	0	0	0.000107	0.044810	0.0124
trans4	gpu	0.022084	0.023239	0.010883	0	0	0	0.056206	0.2302
trans4	gpu-dp	0.022252	0.013953	0.007577	0	0	0	0.043782	0.2346
trans4	gpu-pipelined	0.022611	0.027933	0.019547	0	0	0	0.070092	0.2367
trans4	hybrid-async-dp	0.044446	0.014709	0.008037	0	0	0	0.067193	0.1299
trans4	hybrid-dist-dp	0.038519	0.016634	0.004251	0	0	0.008446	0.067850	0.1292
trans4	hybrid-dist-pipelined	0.034393	0.018652	0.013569	0	0	0.000096	0.066710	0.1296
marine1	gpu	0.118691	0.031084	0.038598	0	0	0	0.188374	1.2197
marine1	gpu-dp	0.118921	0.025571	0.021833	0	0	0	0.166325	1.2313
marine1	gpu-pipelined	0.118743	0.039132	0.082901	0	0	0	0.240776	1.2225
marine1	hybrid-async-dp	0.110614	0.025437	0.022036	0	0	0	0.158087	1.1571
marine1	hybrid-dist-dp	0.125407	0.026988	0.007706	0	0	0.020876	0.180977	1.1524
marine1	hybrid-dist-pipelined	0.124458	0.031498	0.045177	0	0	0.000092	0.201224	1.1560
Goodwin_127	gpu	0.107733	0.024160	0.015131	0	0	0	0.147024	1.0581
Goodwin_127	gpu-dp	0.107882	0.015668	0.010310	0	0	0	0.133860	1.0646
Goodwin_127	gpu-pipelined	0.107694	0.029325	0.026685	0	0	0	0.163704	1.0490
Goodwin_127	hybrid-async-dp	0.099161	0.015771	0.010413	0	0	0	0.125345	0.9730
Goodwin_127	hybrid-dist-dp	0.110012	0.019391	0.005615	0	0	0.010687	0.145705	0.9714
Goodwin_127	hybrid-dist-pipelined	0.108897	0.020692	0.021906	0	0	0.000085	0.151580	0.9776
TSOPF_RS_b2383_c1	gpu	0.211200	0.015987	0.006420	0	0	0	0.233608	2.9131
TSOPF_RS_b2383_c1	gpu-dp	0.211310	0.010691	0.004624	0	0	0	0.226625	2.9240
TSOPF_RS_b2383_c1	gpu-pipelined	0.211566	0.018711	0.010459	0	0	0	0.240736	2.9182
TSOPF_RS_b2383_c1	hybrid-async-dp	0.187207	0.011335	0.004833	0	0	0	0.203375	2.8865
TSOPF_RS_b2383_c1	hybrid-dist-dp	0.205004	0.014867	0.004117	0	0	0.005650	0.229638	2.8913
TSOPF_RS_b2383_c1	hybrid-dist-pipelined	0.195215	0.014677	0.010588	0	0	0.000100	0.220580	2.8915
