matrix	part_src	weight	hybrid_per_iter	gpu_full_per_iter
RM07R	patoh	w100	0.00499838	0.00145725
RM07R	patoh	w400	0.001842763	0.001467613
RM07R	patoh	w500	0.001438239	0.001453397
RM07R	patoh	w600	0.0012545	0.0014688
RM07R	patoh	w700	0.001201307	0.001451276
RM07R	patoh	w800	0.001241357	0.001449817
RM07R	patoh	w900	0.001279387	0.00145724
RM07R	patoh	w1000	0.001251607	0.001452587
RM07R	patoh	w1100	0.001257103	0.00145357
RM07R	patoh	w1200	0.001284077	0.001453984
RM07R	patoh	w2000	0.00131464	0.0014475
RM07R	patoh	w2720	0.00131294	0.001446774
RM07R	naive	w100	0.005190773	0.001477867
RM07R	naive	w400	0.001743077	0.001457873
RM07R	naive	w500	0.001362054	0.001462753
RM07R	naive	w600	0.0012535	0.00146443
RM07R	naive	w700	0.001203197	0.001440133
RM07R	naive	w800	0.00127316	0.00146089
RM07R	naive	w900	0.001249983	0.001453397
RM07R	naive	w1000	0.00125424	0.00144574
RM07R	naive	w1100	0.001267627	0.001453427
RM07R	naive	w1200	0.001261577	0.001452603
RM07R	naive	w2000	0.001304317	0.001448696
RM07R	naive	w2720	0.001322637	0.001447847
cage14	patoh	w100	0.004111457	0.001188527
cage14	patoh	w400	0.00135294	0.001188993
cage14	patoh	w500	0.00113576	0.001197821
cage14	patoh	w600	0.001004543	0.001199063
cage14	patoh	w700	0.001022813	0.00117649
cage14	patoh	w800	0.001031436	0.00117674
cage14	patoh	w900	0.001044427	0.001175667
cage14	patoh	w1000	0.001064664	0.001198227
cage14	patoh	w1100	0.001062887	0.001177307
cage14	patoh	w1200	0.001075794	0.00119833
cage14	patoh	w2000	0.00110018	0.001177304
cage14	patoh	w2720	0.001117317	0.00118165
cage14	naive	w100	0.003990041	0.0011983
cage14	naive	w400	0.001278074	0.001187646
cage14	naive	w500	0.0009854905	0.00119491
cage14	naive	w600	0.0009960437	0.001198124
cage14	naive	w700	0.001013986	0.001194456
cage14	naive	w800	0.001027	0.001198304
cage14	naive	w900	0.001041811	0.001193577
cage14	naive	w1000	0.001050007	0.001197031
cage14	naive	w1100	0.001053973	0.00117529
cage14	naive	w1200	0.001064607	0.001183706
cage14	naive	w2000	0.001094113	0.00118018
cage14	naive	w2720	0.001102474	0.001175027
Hamrle3	patoh	w100	0.0008499734	0.000345463
Hamrle3	patoh	w400	0.0002803198	0.0003455098
Hamrle3	patoh	w500	0.0002921232	0.0003455973
Hamrle3	patoh	w600	0.0003015272	0.0003457006
Hamrle3	patoh	w700	0.0003064235	0.0003455766
Hamrle3	patoh	w800	0.0003084064	0.000345513
Hamrle3	patoh	w900	0.0003126335	0.0003455766
Hamrle3	patoh	w1000	0.0003185733	0.0003455369
Hamrle3	patoh	w1100	0.0003178835	0.00034561
Hamrle3	patoh	w1200	0.0003224405	0.0003455567
Hamrle3	patoh	w2000	0.0003331534	0.0003455695
Hamrle3	patoh	w2720	0.0003394834	0.0003455599
Hamrle3	naive	w100	0.0009052499	0.0003455265
Hamrle3	naive	w400	0.0002673634	0.0003455162
Hamrle3	naive	w500	0.0002764535	0.000345494
Hamrle3	naive	w600	0.0002851502	0.00034554
Hamrle3	naive	w700	0.0002932135	0.000345513
Hamrle3	naive	w800	0.00029881	0.0003454733
Hamrle3	naive	w900	0.0003034663	0.0003455671
Hamrle3	naive	w1000	0.0003067962	0.0003455067
Hamrle3	naive	w1100	0.0003097065	0.000345513
Hamrle3	naive	w1200	0.0003133631	0.0003455194
Hamrle3	naive	w2000	0.0003258538	0.000345494
