matrix	solver	weight	omp_threads	spmv_time	relative_residual	speedup_vs_gpu	status
cage12	cpu	-	8	2.515509	nan	0.150	ok
cage12	gpu	-	1	0.376487	nan	1.000	ok
cage12	gpu-dp	-	1	0.311573	nan	1.208	ok
cage12	gpu-pipelined	-	1	0.491277	1.41242e-16	0.766	ok
cage12	hybrid-async	w100	4	0.583871	nan	0.645	ok
cage12	hybrid-async	w400	4	0.395299	nan	0.952	ok
cage12	hybrid-async	w600	4	0.38735	nan	0.972	ok
cage12	hybrid-async	w800	4	0.356265	nan	1.057	ok
cage12	hybrid-async	w1200	4	0.35469	nan	1.061	ok
cage12	hybrid-async	w2000	1	0.359608	nan	1.047	ok
cage12	hybrid-async	w2720	2	0.360669	nan	1.044	ok
cage12	hybrid-async-dp	w100	4	0.508748	nan	0.740	ok
cage12	hybrid-async-dp	w400	4	0.341297	nan	1.103	ok
cage12	hybrid-async-dp	w600	4	0.305137	nan	1.234	ok
cage12	hybrid-async-dp	w800	4	0.29119	nan	1.293	ok
cage12	hybrid-async-dp	w1200	4	0.296103	nan	1.271	ok
cage12	hybrid-async-dp	w2000	2	0.294628	nan	1.278	ok
cage12	hybrid-async-dp	w2720	2	0.299508	nan	1.257	ok
cage12	hybrid-dist-dp	w100	4	0.539734	nan	0.698	ok
cage12	hybrid-dist-dp	w400	4	0.373725	nan	1.007	ok
cage12	hybrid-dist-dp	w600	2	0.359499	nan	1.047	ok
cage12	hybrid-dist-dp	w800	1	0.351901	nan	1.070	ok
cage12	hybrid-dist-dp	w1200	1	0.352185	nan	1.069	ok
cage12	hybrid-dist-dp	w2000	1	0.34339	nan	1.096	ok
cage12	hybrid-dist-dp	w2720	1	0.343738	nan	1.095	ok
cage12	hybrid-dist-pipelined	w100	4	0.639167	1.244815e-16	0.589	ok
cage12	hybrid-dist-pipelined	w400	4	0.443991	1.238663e-16	0.848	ok
cage12	hybrid-dist-pipelined	w600	4	0.441868	1.207704e-16	0.852	ok
cage12	hybrid-dist-pipelined	w800	1	0.435804	1.205202e-16	0.864	ok
cage12	hybrid-dist-pipelined	w1200	1	0.449661	1.302064e-16	0.837	ok
cage12	hybrid-dist-pipelined	w2000	1	0.436807	1.281337e-16	0.862	ok
cage12	hybrid-dist-pipelined	w2720	4	0.443832	1.232922e-16	0.848	ok
cage12	mpi	w100	1	1.693709	nan	0.222	ok
cage12	mpi	w400	1	2.396548	nan	0.157	ok
cage12	mpi	w600	1	2.525867	nan	0.149	ok
cage12	mpi	w800	1	2.585988	nan	0.146	ok
cage12	mpi	w1200	1	2.679711	nan	0.140	ok
cage12	mpi	w2000	1	2.73048	nan	0.138	ok
cage12	mpi	w2720	1	2.722935	nan	0.138	ok
cage12	mpi-gpu	w100	1	1.436814	nan	0.262	ok
cage12	mpi-gpu	w400	1	0.573206	nan	0.657	ok
cage12	mpi-gpu	w600	1	0.560103	nan	0.672	ok
cage12	mpi-gpu	w800	1	0.565214	nan	0.666	ok
cage12	mpi-gpu	w1200	1	0.56894	nan	0.662	ok
cage12	mpi-gpu	w2000	1	0.582433	nan	0.646	ok
cage12	mpi-gpu	w2720	1	0.580745	nan	0.648	ok
cage13	cpu	-	4	10.700654	nan	0.099	ok
cage13	gpu	-	1	1.063796	nan	1.000	ok
cage13	gpu-dp	-	1	0.891469	nan	1.193	ok
cage13	gpu-pipelined	-	1	1.451831	1.154894e-16	0.733	ok
